name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Ali Ibn Abu Talib Mosque,Mosque,"Ali Ibn Abu Talib Mosque, 12, Jagat Narayan Rd, Golaganj, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Golaganj, Maulviganj, Wazirganj","12, Jagat Narayan Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Ali+Ibn+Abu+Talib+Mosque/data=!4m7!3m6!1s0x399bfdbe94e8f05f:0xfd729b353206a549!8m2!3d26.8538515!4d80.9249232!16s%2Fg%2F1tj50_q9!19sChIJX_DolL79mzkRSaUGMjWbcv0?authuser=0&hl=en&rclk=1,"26.853851499999998,80.9249232"
Wali Masjid,Mosque,"Wali Masjid, Lakshman Parsad Road, Lakshmanprasad Srivastava Rd, Wazirganj, Lucknow, Uttar Pradesh 226018",Wazirganj,"Lakshman Parsad Road, Lakshmanprasad Srivastava Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Wali+Masjid/data=!4m7!3m6!1s0x399bfd4548485579:0x8b1238f619049c26!8m2!3d26.8562866!4d80.9206659!16s%2Fg%2F11g0km15k_!19sChIJeVVISEX9mzkRJpwEGfY4Eos?authuser=0&hl=en&rclk=1,"26.856286599999997,80.9206659"
Mohammadia Mosque ( Masjid ),Mosque,"VVJP+FWC Mohammadia Mosque ( Masjid ), c/o Hafiz Maqsood Alam , Misri Ki Bagia, Jal Nigam Rd, Near, Balaganj, Lucknow, Uttar Pradesh 226003","Near, Balaganj","VVJP+FWC, c/o Hafiz Maqsood Alam , Misri Ki Bagia, Jal Nigam Rd",Lucknow,226003,Uttar Pradesh,IN,https://www.google.com/maps/place/Mohammadia+Mosque+%28+Masjid+%29/data=!4m7!3m6!1s0x399955f788d64d87:0xcca3b54e9151c0e5!8m2!3d26.8811921!4d80.8872501!16s%2Fg%2F11b7q6m4p4!19sChIJh03WiPdVmTkR5cBRkU61o8w?authuser=0&hl=en&rclk=1,"26.8811921,80.8872501"
Lal Masjid,Mosque,"Lal Masjid, Golaganj, 157, Jagat Narayan Rd, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","Golaganj, 157, Jagat Narayan Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x399bfdbf0d64e989:0x42250b173f7e097e!8m2!3d26.8548608!4d80.9224767!16s%2Fg%2F12hk5jnws!19sChIJielkDb_9mzkRfgl-PxcLJUI?authuser=0&hl=en&rclk=1,"26.854860799999997,80.92247669999999"
Jama Masjid,Mosque,"VW48+CPM Jama Masjid, Mashakganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Bagh Sher Jung, Wazirganj","VW48+CPM, Mashakganj",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x399bfdc1c17737ed:0x13f00a3c6bffdc76!8m2!3d26.8560821!4d80.9167941!16s%2Fg%2F12qh8p0zp!19sChIJ7Td3wcH9mzkRdtz_azwK8BM?authuser=0&hl=en&rclk=1,"26.8560821,80.91679409999999"
Aminabad Masjid ( Shia),Mosque,"RWXG+X3J Aminabad Masjid ( Shia), Aminabada, ICICI Bank, Aminabad, Lucknow, Uttar Pradesh 226018","Kesar Bagh, Maulviganj, Wazirganj","RWXG+X3J, Aminabada, ICICI Bank, Aminabad",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Aminabad+Masjid+%28+Shia%29/data=!4m7!3m6!1s0x399bfdb90b47471b:0xa06b676c170a7ae8!8m2!3d26.8499575!4d80.9251511!16s%2Fg%2F1w15xvmy!19sChIJG0dHC7n9mzkR6HoKF2xna6A?authuser=0&hl=en&rclk=1,"26.8499575,80.9251511"
Masjid Anwar aakhoon zadah (Mosque),Mosque,"VW2F+GJ9 Masjid Anwar aakhoon zadah (Mosque), Haider Mirza Rd, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","VW2F+GJ9, Haider Mirza Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Anwar+aakhoon+zadah+%28Mosque%29/data=!4m7!3m6!1s0x399bfd2fd3e3a293:0xe80bed67d0734788!8m2!3d26.8512793!4d80.9240993!16s%2Fg%2F11ghwq1yph!19sChIJk6Lj0y_9mzkRiEdz0GftC-g?authuser=0&hl=en&rclk=1,"26.851279299999998,80.9240993"
Masjid Khwas,Mosque,"RWXC+PWR Masjid Khwas, Gangaprasad Marg, Maulviganj, Aminabad, Lucknow, Uttar Pradesh 226018","Maulviganj, Aminabad","RWXC+PWR, Gangaprasad Marg",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Khwas/data=!4m7!3m6!1s0x399bfdb8f4ea42e5:0x15b8dd8181d18486!8m2!3d26.84936!4d80.9222552!16s%2Fg%2F1th1b3c9!19sChIJ5ULq9Lj9mzkRhoTRgYHduBU?authuser=0&hl=en&rclk=1,"26.849359999999997,80.9222552"
Masjid Kareem Shah Chikmandi,Mosque,"Masjid Kareem Shah Chikmandi, 163,Mosque Abdul Kareem Shah, Chikmandi, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","163,Mosque Abdul Kareem Shah, Chikmandi",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Kareem+Shah+Chikmandi/data=!4m7!3m6!1s0x399bfd5045c4b217:0x5423bb86189eeb83!8m2!3d26.8524282!4d80.9216607!16s%2Fg%2F11h1_0m4yd!19sChIJF7LERVD9mzkRg-ueGIa7I1Q?authuser=0&hl=en&rclk=1,"26.8524282,80.92166069999999"
JAMA MASJID WAZIRGAJ,Mosque,"Q6XQ+R3V JAMA MASJID WAZIRGAJ, Bhareti, Bihar 805131",,Q6XQ+R3V,Bhareti,805131,Bihar,IN,https://www.google.com/maps/place/JAMA+MASJID+WAZIRGAJ/data=!4m7!3m6!1s0x39f3205c71783895:0x871118a7c8fdc473!8m2!3d24.7996041!4d85.237679!16s%2Fg%2F11gfh7k7z7!19sChIJlTh4cVwg8zkRc8T9yKcYEYc?authuser=0&hl=en&rclk=1,"24.7996041,85.237679"
Mohammadi masjid,Mosque,"VV7J+CWC Mohammadi masjid, Mozzam Nagar, Wazirbagh Mohallah, Lucknow, Uttar Pradesh 226003","Mozzam Nagar, Wazirbagh Mohallah",VV7J+CWC,Lucknow,226003,Uttar Pradesh,IN,https://www.google.com/maps/place/Mohammadi+masjid/data=!4m7!3m6!1s0x399bfe112c5b8a7f:0xd83aeee47998b25f!8m2!3d26.8635582!4d80.8822542!16s%2Fg%2F11gdlxt876!19sChIJf4pbLBH-mzkRX7KYeeTuOtg?authuser=0&hl=en&rclk=1,"26.8635582,80.88225419999999"
Hari Masjid daliganj,Mosque,"Hari Masjid daliganj, 498/55, Acharya Narendradev Marg, Kutubpur, Hasanganj, Lucknow, Uttar Pradesh 226007","Kutubpur, Hasanganj","498/55, Acharya Narendradev Marg",Lucknow,226007,Uttar Pradesh,IN,https://www.google.com/maps/place/Hari+Masjid+daliganj/data=!4m7!3m6!1s0x399bfd12b2fc89a5:0x91ffa4f5385a5b88!8m2!3d26.8717292!4d80.9305203!16s%2Fg%2F11kk1vh413!19sChIJpYn8shL9mzkRiFtaOPWk_5E?authuser=0&hl=en&rclk=1,"26.871729199999997,80.9305203"
Khajoor Wali Masjid,Mosque,"VW3F+W7P Khajoor Wali Masjid, Jagat Narayan Rd, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","VW3F+W7P, Jagat Narayan Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Khajoor+Wali+Masjid/data=!4m7!3m6!1s0x399bfdbf00a58e55:0xd0889d6de492cb02!8m2!3d26.8548444!4d80.9232147!16s%2Fg%2F11h0dqb2b!19sChIJVY6lAL_9mzkRAsuS5G2diNA?authuser=0&hl=en&rclk=1,"26.854844399999998,80.9232147"
Khajoor Wali Masjid,Mosque,"VV7P+4FV Khajoor Wali Masjid, Wazirbagh Mohallah, Lucknow, Uttar Pradesh 226003",Wazirbagh Mohallah,VV7P+4FV,Lucknow,226003,Uttar Pradesh,IN,https://www.google.com/maps/place/Khajoor+Wali+Masjid/data=!4m7!3m6!1s0x399bfe11bfffffff:0x300032b8633e325f!8m2!3d26.8628652!4d80.886172!16s%2Fg%2F11btwtcr0t!19sChIJ____vxH-mzkRXzI-Y7gyADA?authuser=0&hl=en&rclk=1,"26.862865199999998,80.886172"
Mosque,Mosque,"VW2G+M5W Mosque, Gwynne Rd, Maulviganj, Aminabad, Lucknow, Uttar Pradesh 226018","Maulviganj, Aminabad","VW2G+M5W, Gwynne Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x399bfdb94e59b071:0x2dfcd7462bbd4b13!8m2!3d26.8517255!4d80.9254535!16s%2Fg%2F12hkhbp_l!19sChIJcbBZTrn9mzkRE0u9K0bX_C0?authuser=0&hl=en&rclk=1,"26.851725499999997,80.9254535"
Masjid-e-Aisha,Mosque,"Masjid-e-Aisha, 12, Jagat Narayan Rd, Golaganj, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Golaganj, Maulviganj, Wazirganj","12, Jagat Narayan Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid-e-Aisha/data=!4m7!3m6!1s0x399bfdbea766d413:0xc4f96598c408bc26!8m2!3d26.8532749!4d80.9263041!16s%2Fg%2F11fx9mb0x_!19sChIJE9Rmp779mzkRJrwIxJhl-cQ?authuser=0&hl=en&rclk=1,"26.8532749,80.9263041"
Chilwar Wali Masjid (Masjid E Muavia),Mosque,"VV4Q+F5C Chilwar Wali Masjid (Masjid E Muavia), Saadatganj, Lucknow, Uttar Pradesh 226003",Saadatganj,VV4Q+F5C,Lucknow,226003,Uttar Pradesh,IN,https://www.google.com/maps/place/Chilwar+Wali+Masjid+%28Masjid+E+Muavia%29/data=!4m7!3m6!1s0x399bfe0d573178bb:0x7ac4e6d8d483c376!8m2!3d26.856182!4d80.8878766!16s%2Fg%2F11c5_c19_s!19sChIJu3gxVw3-mzkRdsOD1NjmxHo?authuser=0&hl=en&rclk=1,"26.856182,80.8878766"
Tazikhana Masjid,Mosque,"Tazikhana Masjid, tazikhana, 161/94, raod, Patthar Wali Gali, Astabal Charbagh, Mashak Ganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Patthar Wali Gali, Astabal Charbagh, Mashak Ganj, Wazirganj","tazikhana, 161/94, raod",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Tazikhana+Masjid/data=!4m7!3m6!1s0x399bfd98b044fcfb:0xf7d68a2f08f184b3!8m2!3d26.8530363!4d80.9176886!16s%2Fg%2F11flbq022h!19sChIJ-_xEsJj9mzkRs4TxCC-K1vc?authuser=0&hl=en&rclk=1,"26.8530363,80.91768859999999"
Masjid jamiatul Quraish,Mosque,"VW2C+FP2 Masjid jamiatul Quraish, Chickmandi, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","VW2C+FP2, Chickmandi",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+jamiatul+Quraish/data=!4m7!3m6!1s0x399bfd32d9414c5f:0xe05019756cade05c!8m2!3d26.8511411!4d80.9217726!16s%2Fg%2F11jcml8m5p!19sChIJX0xB2TL9mzkRXOCtbHUZUOA?authuser=0&hl=en&rclk=1,"26.8511411,80.9217726"
Gumbadi masjid,Mosque,"VW3C+PX5 Gumbadi masjid, Maulviganj, Wazirganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj",VW3C+PX5,Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Gumbadi+masjid/data=!4m7!3m6!1s0x399bfdc8672dfeb1:0x43df5ad0f3ce6d6f!8m2!3d26.8542532!4d80.922473!16s%2Fg%2F11h77wwj9j!19sChIJsf4tZ8j9mzkRb23O89Ba30M?authuser=0&hl=en&rclk=1,"26.8542532,80.922473"
Ruhani Jama Masjid,Mosque,"W4PF+98W Ruhani Jama Masjid, Wazir Ganj, Uttar Pradesh 271129",,W4PF+98W,Wazir Ganj,271129,Uttar Pradesh,IN,https://www.google.com/maps/place/Ruhani+Jama+Masjid/data=!4m7!3m6!1s0x399a021c1d91a185:0xab0e8d4d0776df02!8m2!3d26.9359827!4d82.1233277!16s%2Fg%2F11c2j90pwv!19sChIJhaGRHRwCmjkRAt92B02NDqs?authuser=0&hl=en&rclk=1,"26.9359827,82.12332769999999"
Mulsare Mosque,Mosque,"VW3G+24M Mulsare Mosque, Gwynne Rd, Maulviganj, Aminabad, Lucknow, Uttar Pradesh 226018","Maulviganj, Aminabad","VW3G+24M, Gwynne Rd",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Mulsare+Mosque/data=!4m7!3m6!1s0x399bfdbeb157ff89:0x1f426f02149f60c2!8m2!3d26.8525921!4d80.9252847!16s%2Fg%2F12hnqgw9g!19sChIJif9Xsb79mzkRwmCfFAJvQh8?authuser=0&hl=en&rclk=1,"26.8525921,80.92528469999999"
Hari Masjid,Mosque,"VW3G+358 Hari Masjid, Barudkhana, Lal Masjid, Golaganj, Lucknow, Uttar Pradesh 226018","Maulviganj, Wazirganj","VW3G+358, Barudkhana, Lal Masjid, Golaganj",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Hari+Masjid/data=!4m7!3m6!1s0x399bfdbeb1747c7f:0x85f6080f29dcd3b3!8m2!3d26.8526743!4d80.9254578!16s%2Fg%2F1tftcq_m!19sChIJf3x0sb79mzkRs9PcKQ8I9oU?authuser=0&hl=en&rclk=1,"26.8526743,80.92545779999999"
Bilal Masjid,Mosque,"RWXF+JRQ Bilal Masjid, ICICI Bank, Maulviganj, Aminabad, Lucknow, Uttar Pradesh 226018","Maulviganj, Aminabad",RWXF+JRQ ICICI Bank,Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Bilal+Masjid/data=!4m7!3m6!1s0x399bfdb9a119909d:0x95a3320bc40b8a93!8m2!3d26.8490869!4d80.9246161!16s%2Fg%2F1tds535k!19sChIJnZAZobn9mzkRk4oLxAsyo5U?authuser=0&hl=en&rclk=1,"26.8490869,80.9246161"
Chapakhana Masjid,Mosque,"VW38+2WF Chapakhana Masjid, Massaganj Dhal, Kundari Rakabganj, Lucknow, Uttar Pradesh 226018","Patthar Wali Gali, Astabal Charbagh, Kundari Rakabganj","VW38+2WF, Massaganj Dhal",Lucknow,226018,Uttar Pradesh,IN,https://www.google.com/maps/place/Chapakhana+Masjid/data=!4m7!3m6!1s0x399bfdc13ac8b523:0xedc92cd45f1ddb1e!8m2!3d26.8525547!4d80.9172898!16s%2Fg%2F12hkzlcd1!19sChIJI7XIOsH9mzkRHtsdX9Qsye0?authuser=0&hl=en&rclk=1,"26.8525547,80.91728979999999"
