name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
muslimpur msiidi ( Muslimpura Masjid [ masjid E latiyaa ],Mosque,"Q4CM+2HC muslimpur msiidi ( Muslimpura Masjid [ masjid E latiyaa ], Yadgir-Bidar Rd, Muslimpura, Yadgiri, Yadgir K Rural, Karnataka 585201",Muslimpura,"Q4CM+2HC, Yadgir-Bidar Rd","Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/%E0%B2%AE%E0%B3%81%E0%B2%B8%E0%B3%8D%E0%B2%B2%E0%B2%BF%E0%B2%AE%E0%B2%AA%E0%B3%81%E0%B2%B0+%E0%B2%AE%E0%B2%B8%E0%B3%80%E0%B2%A6%E0%B2%BF+%28+Muslimpura+Masjid+%5B+masjid+E+latiyaa+%5D/data=!4m7!3m6!1s0x3bc85396dec491e1:0x1345b3913fc898cb!8m2!3d16.7700593!4d77.133902!16s%2Fg%2F1hm58cb6c!19sChIJ4ZHE3pZTyDsRy5jIP5GzRRM?authuser=0&hl=en&rclk=1,"16.7700593,77.13390199999999"
Sana Masjid ( Ahle Sunnat ),Mosque,"P4WQ+M47 Sana Masjid ( Ahle Sunnat ), Aziz Colony, Yadgiri, Karnataka 585202",Aziz Colony,P4WQ+M47,Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/Sana+Masjid+%28+Ahle+Sunnat+%29/data=!4m7!3m6!1s0x3bc853ad926408fb:0x8cf334ff4d6b77e7!8m2!3d16.7466628!4d77.1377946!16s%2Fg%2F11cjs1d7xy!19sChIJ-whkkq1TyDsR53drTf8084w?authuser=0&hl=en&rclk=1,"16.7466628,77.13779459999999"
Asar Masjid,Mosque,"Asar Masjid, Asar Mohalla, Yadgiri, Yadgir K Rural, Karnataka 585201",Asar Mohalla,Asar Masjid,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Asar+Masjid/data=!4m7!3m6!1s0x3bc853974fc344c1:0x1f8105000cf7dff!8m2!3d16.7707424!4d77.1362436!16s%2Fg%2F1tgplh0p!19sChIJwUTDT5dTyDsR_33PAFAQ-AE?authuser=0&hl=en&rclk=1,"16.7707424,77.1362436"
Makka Masjid,Mosque,"Q4CM+JPJ Makka Masjid, Muslimpura, Yadgiri, Yadgir K Rural, Karnataka 585201",Muslimpura,Q4CM+JPJ,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Makka+Masjid/data=!4m7!3m6!1s0x3bc85390d5d7cdb3:0xd341ab15b23edc3e!8m2!3d16.7715899!4d77.1342802!16s%2Fg%2F1tdq4gb7!19sChIJs83X1ZBTyDsRPtw-shWrQdM?authuser=0&hl=en&rclk=1,"16.7715899,77.13428019999999"
Masjid Umar Farooque (Ahle Sunnat),Mosque,"Q43Q+78V Masjid Umar Farooque (Ahle Sunnat), Yadgiri, Karnataka 585202",,Q43Q+78V,Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/Masjid+Umar+Farooque+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bc853afed036747:0xcce61942018621ba!8m2!3d16.7532475!4d77.1383089!16s%2Fg%2F1hm2bsy_6!19sChIJR2cD7a9TyDsRuiGGAUIZ5sw?authuser=0&hl=en&rclk=1,"16.7532475,77.1383089"
Ahlehadis Masjid,Mosque,"Q49M+WW5 Ahlehadis Masjid, Yadgiri, Yadgir K Rural, Karnataka 585201",,Q49M+WW5,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Ahlehadis+Masjid/data=!4m7!3m6!1s0x3bc8539717f77061:0xfee8f45508f55165!8m2!3d16.7697742!4d77.1348676!16s%2Fg%2F1260t_p3h!19sChIJYXD3F5dTyDsRZVH1CFX06P4?authuser=0&hl=en&rclk=1,"16.7697742,77.13486759999999"
MASJID E BILAL,Mosque,"MASJID E BILAL, SH16, Near Old Bus Stand, Yadgiri, Karnataka 585202",,"SH16, Near Old Bus Stand",Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/MASJID+E+BILAL/data=!4m7!3m6!1s0x3bc853b6a89060e7:0x45265281768df711!8m2!3d16.7480953!4d77.1305895!16s%2Fg%2F11cm_hb08q!19sChIJ52CQqLZTyDsREfeNdoFSJkU?authuser=0&hl=en&rclk=1,"16.7480953,77.1305895"
MASJID-E-RAHMANIYA,Mosque,"P4WJ+GCW MASJID-E-RAHMANIYA, Yadgiri, Karnataka 585202",,P4WJ+GCW,Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/MASJID-E-RAHMANIYA/data=!4m7!3m6!1s0x3bc853b4752231b5:0x1310dce084aa917!8m2!3d16.7463701!4d77.1310749!16s%2Fg%2F124s_pbpm!19sChIJtTEidbRTyDsRF6lKCM4NMQE?authuser=0&hl=en&rclk=1,"16.7463701,77.1310749"
Sadar Darwaza Masjid ( Ahle Sunnat O Jamat ),Mosque,"Q49M+59M Sadar Darwaza Masjid ( Ahle Sunnat O Jamat ), Yadgiri, Yadgir K Rural, Karnataka 585201",,Q49M+59M,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Sadar+Darwaza+Masjid+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc8539659e2a5a7:0xf0b1ba138a06ed39!8m2!3d16.7679714!4d77.1334139!16s%2Fg%2F1hc6sdnm3!19sChIJp6XiWZZTyDsROe0GihO6sfA?authuser=0&hl=en&rclk=1,"16.7679714,77.1334139"
msjid ee hmjaa ( MASJID E HAMZA (AHLE HADEES),Mosque,"P4XG+WJX msjid ee hmjaa ( MASJID E HAMZA (AHLE HADEES), Yadgiri, Karnataka 585202",,P4XG+WJX,Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/%E0%B2%AE%E0%B2%B8%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%A6%E0%B3%8D+%E0%B2%8F+%E0%B2%B9%E0%B2%AE%E0%B3%8D%E0%B2%9C%E0%B2%BE+%28+MASJID+E+HAMZA+%28AHLE+HADEES%29/data=!4m7!3m6!1s0x3bc853b63749edb1:0x89db9c1244d1537d!8m2!3d16.749863!4d77.1266101!16s%2Fg%2F11gc_vxcxq!19sChIJse1JN7ZTyDsRfVPRRBKc24k?authuser=0&hl=en&rclk=1,"16.749862999999998,77.1266101"
Masjid-e-Fathima,Mosque,"Masjid-e-Fathima, 585201 02, Karnataka",,585201 02,Yadgiri,,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Fathima/data=!4m7!3m6!1s0x3bc853ad65a22141:0x7c2490c35ff69238!8m2!3d16.7443267!4d77.1373342!16s%2Fg%2F11bzs0l9b6!19sChIJQSGiZa1TyDsROJL2X8OQJHw?authuser=0&hl=en&rclk=1,"16.7443267,77.1373342"
MASJIDE HAQQANI,Mosque,"Q4CV+3FW MASJIDE HAQQANI, Yadgiri, Yadgir K Rural, Karnataka 585201",,Q4CV+3FW,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/MASJIDE+HAQQANI/data=!4m7!3m6!1s0x3bc8539ec70384c7:0x9f41b10a4523ffc!8m2!3d16.7702449!4d77.1436981!16s%2Fg%2F124t22j8f!19sChIJx4QDx55TyDsR_D9SpBAb9Ak?authuser=0&hl=en&rclk=1,"16.770244899999998,77.1436981"
msjid abdul haay ( Masjid- Abdul Hai),Mosque,"Q4FP+F59 msjid abdul haay ( Masjid- Abdul Hai), Dabeer colony, Yadgiri, Yadgir K Rural, Karnataka 585201",Dabeer colony,Q4FP+F59,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/%E0%B2%AE%E0%B2%B8%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%A6%E0%B3%8D+%E0%B2%85%E0%B2%AC%E0%B3%8D%E0%B2%A6%E0%B3%81%E0%B2%B2%E0%B3%8D+%E0%B2%B9%E0%B2%BE%E0%B2%AF%E0%B3%8D+%28+Masjid-+Abdul+Hai%29/data=!4m7!3m6!1s0x3bc85390f318ec41:0xcb57caafee76302d!8m2!3d16.7736643!4d77.135474!16s%2Fg%2F11by_yxzjj!19sChIJQewY85BTyDsRLTB27q_KV8s?authuser=0&hl=en&rclk=1,"16.7736643,77.135474"
Masjid E Hassan,Mosque,"Masjid E Hassan, near, Shapur pet school, Chakar Katta Rd, Yadgiri, 585201",Muslimpura,"near, Shapur pet school, Chakar Katta Rd","Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Hassan/data=!4m7!3m6!1s0x3bc8539a45ec35b5:0xa66b834dca835755!8m2!3d16.7736543!4d77.1396138!16s%2Fg%2F11by_fcnnn!19sChIJtTXsRZpTyDsRVVeDyk2Da6Y?authuser=0&hl=en&rclk=1,"16.7736543,77.13961379999999"
Masjid-e-Gareeb Nawaz ( Ahle Sunnat O Jamat ),Mosque,"Masjid-e-Gareeb Nawaz ( Ahle Sunnat O Jamat ), Aqsa Colony, Yadgiri, Yadgir K Rural, Karnataka 585201",Aqsa Colony,,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Gareeb+Nawaz+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc853be13b98741:0xe48d3e6750679a0b!8m2!3d16.7640449!4d77.1302864!16s%2Fg%2F1hm3p1h3z!19sChIJQYe5E75TyDsRC5pnUGc-jeQ?authuser=0&hl=en&rclk=1,"16.7640449,77.1302864"
Masjid e ilahi,Mosque,"Q47M+GGC Masjid e ilahi, Yadgir K Rural, Karnataka 585201",,Q47M+GGC,Yadgir K Rural,585201,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+ilahi/data=!4m7!3m6!1s0x3bc853bda3c7c3c9:0x8bfb545ca4227222!8m2!3d16.7638022!4d77.1337505!16s%2Fg%2F11f0kv6xsb!19sChIJycPHo71TyDsRInIipFxU-4s?authuser=0&hl=en&rclk=1,"16.7638022,77.13375049999999"
Faizane Madeena Dawate Islami Madani Markaz YADGIR,Mosque,"P4RM+M7Q Faizane Madeena Dawate Islami Madani Markaz YADGIR, Yadgiri, Karnataka 585202",,P4RM+M7Q,Yadgiri,,Karnataka,IN,https://www.google.com/maps/place/Faizane+Madeena+Dawate+Islami+Madani+Markaz+YADGIR/data=!4m7!3m6!1s0x3bc8524cceff68dd:0xb9f61278e81a1a42!8m2!3d16.7417049!4d77.1332315!16s%2Fg%2F11g020dksx!19sChIJ3Wj_zkxSyDsRQhoa6HgS9rk?authuser=0&hl=en&rclk=1,"16.7417049,77.1332315"
msjid ee taavid ahlee hdiis( Masjid E Tawheed Ahle Hadees),Mosque,"msjid ee taavid ahlee hdiis( Masjid E Tawheed Ahle Hadees), Anmol colony, Yadgiri, Yadgir K Rural, Karnataka 585201",,Anmol colony,"Yadgiri, Yadgir K Rural",,Karnataka,IN,https://www.google.com/maps/place/%E0%B2%AE%E0%B2%B8%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%A6%E0%B3%8D+%E0%B2%8F+%E0%B2%A4%E0%B2%BE%E0%B2%B5%E0%B2%BF%E0%B2%A6%E0%B3%8D+%E0%B2%85%E0%B2%B9%E0%B3%8D%E0%B2%B2%E0%B3%87+%E0%B2%B9%E0%B2%A6%E0%B3%80%E0%B2%B8%E0%B3%8D%28+Masjid+E+Tawheed+Ahle+Hadees%29/data=!4m7!3m6!1s0x3bc853d89f0b2813:0x92f4cbc9eaa8cfb3!8m2!3d16.776458!4d77.1370796!16s%2Fg%2F11pkc3yg_v!19sChIJEygLn9hTyDsRs8-o6snL9JI?authuser=0&hl=en&rclk=1,"16.776457999999998,77.13707959999999"
Masjid-e-Aqsa ( Ahle Sunnat O Jamat ),Mosque,"Q48J+42P Masjid-e-Aqsa ( Ahle Sunnat O Jamat ), Aqsa Colony, Yadgiri, Yadgir K Rural, Karnataka 585201",Aqsa Colony,Q48J+42P,"Yadgiri, Yadgir K Rural",585201,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Aqsa+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc85395f5ca09af:0x9c6a502d2055e11b!8m2!3d16.7653441!4d77.1300906!16s%2Fg%2F124yb3s8f!19sChIJrwnK9ZVTyDsRG-FVIC1Qapw?authuser=0&hl=en&rclk=1,"16.7653441,77.1300906"
MASJID-E-AYESHA,Mosque,"P4WM+558 MASJID-E-AYESHA, Unnamed Road, Shivaji Nagar, Yadgiri, Karnataka 585202",Shivaji Nagar,"P4WM+558, Unnamed Road",Yadgiri,585202,Karnataka,IN,https://www.google.com/maps/place/MASJID-E-AYESHA/data=!4m7!3m6!1s0x3bc853ea464261d3:0x5f10b69085c19cf5!8m2!3d16.7454042!4d77.1329461!16s%2Fg%2F11fkmgj773!19sChIJ02FCRupTyDsR9ZzBhZC2EF8?authuser=0&hl=en&rclk=1,"16.7454042,77.1329461"
