name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-E-Bilal msjd,Mosque,"Masjid-E-Bilal msjd, 6th Main Road, Yelahanka New Town, 5th Phase, Bengaluru, Karnataka 560064",Yelahanka New Town,"6th Main Road, Yelahanka New Town, 5th Phase",Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Bilal+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bae1885ff8f45e7:0xb5c539d6b9de0ec9!8m2!3d13.1076407!4d77.5733793!16s%2Fg%2F1s049m17k!19sChIJ50WP_4UYrjsRyQ7eudY5xbU?authuser=0&hl=en&rclk=1,"13.1076407,77.5733793"
New Jamia Masjid,Mosque,"New Jamia Masjid, 8th A Cross 'A' Sector, Yelahanka New Town, Bengaluru, Karnataka 560064","Yelahanka Satellite Town, Yelahanka New Town","8th A Cross 'A' Sector, Yelahanka New Town",Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/New+Jamia+Masjid/data=!4m7!3m6!1s0x3bae185dd0dc0589:0x9aee0640dec4b322!8m2!3d13.0964758!4d77.5867789!16s%2Fg%2F1td4n40l!19sChIJiQXc0F0YrjsRIrPE3kAG7po?authuser=0&hl=en&rclk=1,"13.096475799999999,77.5867789"
Masjid e Noorani,Mosque,"4JPC+J93 Masjid e Noorani, Bharti Nagar, Hunasamaranahalli, Bengaluru, Karnataka 562157","Bharti Nagar, Hunasamaranahalli",4JPC+J93,Bengaluru,562157,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+Noorani/data=!4m7!3m6!1s0x3bae193aeba727a5:0x43ce33c6427147c1!8m2!3d13.1365121!4d77.6209198!16s%2Fg%2F11bxg1ktdh!19sChIJpSen6zoZrjsRwUdxQsYzzkM?authuser=0&hl=en&rclk=1,"13.1365121,77.6209198"
"Jamia Masjid Old Town yelahanka (jmiyaa msiidi, ylhNk hlle ngr)",Mosque,"4H3V+MQC Jamia Masjid Old Town yelahanka (jmiyaa msiidi, ylhNk hlle ngr), Bestara Colony, Kamakshiamma Layout, Yelahanka, Bengaluru, Karnataka 560064","Bestara Colony, Kamakshiamma Layout, Yelahanka",4H3V+MQC,Bengaluru,560064,Karnataka,IN,"https://www.google.com/maps/place/Jamia+Masjid+Old+Town+yelahanka+%28%E0%B2%9C%E0%B2%AE%E0%B2%BF%E0%B2%AF%E0%B2%BE+%E0%B2%AE%E0%B2%B8%E0%B3%80%E0%B2%A6%E0%B2%BF,+%E0%B2%AF%E0%B2%B2%E0%B2%B9%E0%B2%82%E0%B2%95+%E0%B2%B9%E0%B2%B3%E0%B3%86+%E0%B2%A8%E0%B2%97%E0%B2%B0%29/data=!4m7!3m6!1s0x3bae18f7c70d1beb:0xe99a7775ee791873!8m2!3d13.1041954!4d77.5943927!16s%2Fg%2F11cn8yf17k!19sChIJ6xsNx_cYrjsRcxh57nV3muk?authuser=0&hl=en&rclk=1","13.1041954,77.5943927"
"Yelahanka Mosque, Near Tank Bund Road",Mosque,"4H3V+MV3 Yelahanka Mosque, Near Tank Bund Road, BBMP Office Rd, Bestara Colony, Kamakshiamma Layout, Yelahanka, Bengaluru, Karnataka 560064","Bestara Colony, Kamakshiamma Layout, Yelahanka","4H3V+MV3, BBMP Office Rd",Bengaluru,560064,Karnataka,IN,"https://www.google.com/maps/place/Yelahanka+Mosque,+Near+Tank+Bund+Road/data=!4m7!3m6!1s0x3bae18f7c054e137:0xe9b09ef83af69da3!8m2!3d13.104135!4d77.5946848!16s%2Fg%2F11c5_3t0q9!19sChIJN-FUwPcYrjsRo532OviesOk?authuser=0&hl=en&rclk=1","13.104135,77.5946848"
Mecca Masjid,Mosque,"4J54+MPJ Mecca Masjid, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064","Maruthi Nagar, Yelahanka",4J54+MPJ,Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/Mecca+Masjid/data=!4m7!3m6!1s0x3bae19c7379577c9:0xd09900dc7fc57704!8m2!3d13.1092091!4d77.6067681!16s%2Fg%2F11gslxwcb2!19sChIJyXeVN8cZrjsRBHfFf9wAmdA?authuser=0&hl=en&rclk=1,"13.1092091,77.6067681"
Masjid - E- Wheel and Axle,Mosque,"4H4M+56W Masjid - E- Wheel and Axle, Doddaballapur Main Rd, Yelahanka, Bengaluru, Karnataka 560064",Yelahanka,"4H4M+56W, Doddaballapur Main Rd",Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/Masjid+-+E-+Wheel+and+Axle/data=!4m7!3m6!1s0x3bae188b1ea651cf:0xe5601faa38d32fd1!8m2!3d13.1054826!4d77.5830851!16s%2Fg%2F11c1wr5zny!19sChIJz1GmHosYrjsR0S_TOKofYOU?authuser=0&hl=en&rclk=1,"13.1054826,77.58308509999999"
Masjid-E-AL-Husna Kenchanahalli,Mosque,"Masjid-E-AL-Husna Kenchanahalli, Vasudevapura, Karnataka 560064",,,Vasudevapura,560064,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-AL-Husna+Kenchanahalli/data=!4m7!3m6!1s0x3bae18935dfb2b27:0xb197136e1ba4dd89!8m2!3d13.1178145!4d77.5840241!16s%2Fg%2F11ckqs171r!19sChIJJyv7XZMYrjsRid2kG24Tl7E?authuser=0&hl=en&rclk=1,"13.1178145,77.5840241"
Anwariya Masjid,Mosque,"Anwariya Masjid, 1st Main Tippu Nagar 5th cross ,Bunde Road, Kogilu Layout, Yelahanka, Bengaluru, Karnataka 560064","Kogilu Layout, Yelahanka","1st Main Tippu Nagar 5th cross ,Bunde Road",Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/Anwariya+Masjid/data=!4m7!3m6!1s0x3bae197531834319:0xb7a44e53aa72c779!8m2!3d13.1067667!4d77.6309445!16s%2Fg%2F11f39shlm7!19sChIJGUODMXUZrjsRecdyqlNOpLc?authuser=0&hl=en&rclk=1,"13.1067667,77.6309445"
Masjid-e-AbuBakr Siddiq,Mosque,"Masjid-e-AbuBakr Siddiq, 1-83, 27th Cross, Chowdeshwari Layout, Yelahanka, Bengaluru, Karnataka 560064","Kamakshiamma Layout, Yelahanka","1-83, 27th Cross, Chowdeshwari Layout, Yelahanka",Bengaluru,560064,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-AbuBakr+Siddiq/data=!4m7!3m6!1s0x3bae18f14fc23b17:0x577b90e1a71b7b32!8m2!3d13.1090909!4d77.5909994!16s%2Fg%2F11cmnmkbc9!19sChIJFzvCT_EYrjsRMnsbp-GQe1c?authuser=0&hl=en&rclk=1,"13.1090909,77.5909994"
