name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-e-Ibad Ur Rahman,Mosque,"Masjid-e-Ibad Ur Rahman, 9-8-110/C/41, Dhankota Rd, near Fateh Darwaza, Dhankota, Saleh Nagar, Golconda Fort, Hyderabad, Telangana 500008","Dhankota, Saleh Nagar, Golconda Fort","9-8-110/C/41, Dhankota Rd, near Fateh Darwaza",Hyderabad,500008,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Ibad+Ur+Rahman/data=!4m7!3m6!1s0x3bcb96f5f1aa623f:0xa942d5c8b980d481!8m2!3d17.3776952!4d78.41244!16s%2Fg%2F12qg8ywz6!19sChIJP2Kq8fWWyzsRgdSAucjVQqk?authuser=0&hl=en&rclk=1,"17.377695199999998,78.41243999999999"
Masjid Abdullah bin saif,Mosque,"G7FJ+988 Masjid Abdullah bin saif, Unnamed Road, Marks Nagar Colony, Sreeram Nagar Colony, Patancheruvu, Hyderabad, Telangana 502319","Marks Nagar Colony, Sreeram Nagar Colony","G7FJ+988, Unnamed Road","Patancheruvu, Hyderabad",502319,Telangana,IN,https://www.google.com/maps/place/Masjid+Abdullah+bin+saif/data=!4m7!3m6!1s0x3bcbf2ba8a2dcebb:0xeb17a84d8f935e1c!8m2!3d17.5234481!4d78.2806713!16s%2Fg%2F11c52c4tl3!19sChIJu84tirryyzsRHF6Tj02oF-s?authuser=0&hl=en&rclk=1,"17.5234481,78.2806713"
"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z",Mosque,"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z, SUNNAM BATTI, Edla Wada, Mancherial, Telangana 504208",,"SUNNAM BATTI, Edla Wada",Mancherial,504208,Telangana,IN,"https://www.google.com/maps/place/MASJID+E+MOINUDDIN+ZAHED,+MAKTAB+HAZRAT+UMAR+FAROOQ+R.Z/data=!4m7!3m6!1s0x3a32cbd20eb48977:0x15c91af9fdef8ae3!8m2!3d18.8653693!4d79.4573734!16s%2Fg%2F11swy46385!19sChIJd4m0DtLLMjoR44rv_fkayRU?authuser=0&hl=en&rclk=1","18.865369299999998,79.4573734"
Razvi TAiLORS masjid e Bilal,Mosque,"3F6V+V6V Razvi TAiLORS masjid e Bilal, Bellampalle, Telangana 504251",,3F6V+V6V,Bellampalle,504251,Telangana,IN,https://www.google.com/maps/place/Razvi+TAiLORS+masjid+e+Bilal/data=!4m7!3m6!1s0x3a32b10ed88c3029:0x4f65cd5899f32fc8!8m2!3d19.0622332!4d79.4930366!16s%2Fg%2F11f62g5tr5!19sChIJKTCM2A6xMjoRyC_zmVjNZU8?authuser=0&hl=en&rclk=1,"19.062233199999998,79.4930366"
Al-Masjid Al-Salafiyya Umm Ul Momineen Aisha Siddiqa Raadhiallahu Anha,Mosque,"Al-Masjid Al-Salafiyya Umm Ul Momineen Aisha Siddiqa Raadhiallahu Anha, 1-3-186, Indira Market, Kagaznagar, Telangana 504296",Ward Number 3,"1-3-186, Indira Market",Kagaznagar,504296,Telangana,IN,https://www.google.com/maps/place/Al-Masjid+Al-Salafiyya+Umm+Ul+Momineen+Aisha+Siddiqa+Raadhiallahu+Anha/data=!4m7!3m6!1s0x3a2d57122ab10c9b:0x2366cf8f27649544!8m2!3d19.343273!4d79.483942!16s%2Fg%2F11px9yb4sd!19sChIJmwyxKhJXLToRRJVkJ4_PZiM?authuser=0&hl=en&rclk=1,"19.343273,79.483942"
Jama Masjid,Mosque,"MGGQ+F5Q Jama Masjid, Jama Masjid Rd, Mahalaxmiwada, Adilabad, Telangana 504001",Mahalaxmiwada,"MGGQ+F5Q, Jama Masjid Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd25c75f87e8a01:0x25a95ee1fbab37d0!8m2!3d19.6762137!4d78.5379985!16s%2Fg%2F1tlqnfwv!19sChIJAYp--HVc0jsR0Der--FeqSU?authuser=0&hl=en&rclk=1,"19.676213699999998,78.5379985"
Gulzaar Masjid,Mosque,"MGCR+66Q Gulzaar Masjid, Bokkalguda St, Brahmanwadi, Adilabad, Telangana 504001",Brahmanwadi,"MGCR+66Q, Bokkalguda St",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Gulzaar+Masjid/data=!4m7!3m6!1s0x3bd25c7477d00337:0x3dc61fe7489f62b1!8m2!3d19.6704596!4d78.5395986!16s%2Fg%2F1tcz6sjz!19sChIJNwPQd3Rc0jsRsWKfSOcfxj0?authuser=0&hl=en&rclk=1,"19.670459599999997,78.53959859999999"
Masjid E Mahboobia,Mosque,"38RV+23Q Masjid E Mahboobia, Madina colony, Eidgoan, Nirmal, Telangana 504106",Eidgoan,"38RV+23Q, Madina colony",Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Mahboobia/data=!4m7!3m6!1s0x3bcd8c7cc72f32ad:0xc87a1e0f04aa3a5d!8m2!3d19.0900799!4d78.3427318!16s%2Fg%2F11b6njqqlh!19sChIJrTIvx3yMzTsRXTqqBA8eesg?authuser=0&hl=en&rclk=1,"19.0900799,78.3427318"
Madina Masjid,Mosque,"Madina Masjid, Government Junior College, Bhainsa, Telangana 504103",,Government Junior College,Bhainsa,504103,Telangana,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bcdfe5aef2fd1e3:0x48c8397dc97ab0f6!8m2!3d19.1096769!4d77.9643594!16s%2Fg%2F11b7w99d4p!19sChIJ49Ev71r-zTsR9rB6yX05yEg?authuser=0&hl=en&rclk=1,"19.1096769,77.96435939999999"
Masjid Panjesha,Mosque,"Masjid Panjesha, masjid, panjesha marg, Bhainsa, Telangana 504103",,"masjid, panjesha marg",Bhainsa,,Telangana,IN,https://www.google.com/maps/place/Masjid+Panjesha/data=!4m7!3m6!1s0x3bcdfe45594b318b:0xa9a4527a0d3bdd4e!8m2!3d19.1114013!4d77.9614446!16s%2Fg%2F11xfvxc4m!19sChIJizFLWUX-zTsRTt07DXpSpKk?authuser=0&hl=en&rclk=1,"19.1114013,77.9614446"
