name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-e-Ibad Ur Rahman,Mosque,"Masjid-e-Ibad Ur Rahman, 9-8-110/C/41, Dhankota Rd, near Fateh Darwaza, Dhankota, Saleh Nagar, Golconda Fort, Hyderabad, Telangana 500008","Dhankota, Saleh Nagar, Golconda Fort","9-8-110/C/41, Dhankota Rd, near Fateh Darwaza",Hyderabad,500008,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Ibad+Ur+Rahman/data=!4m7!3m6!1s0x3bcb96f5f1aa623f:0xa942d5c8b980d481!8m2!3d17.3776952!4d78.41244!16s%2Fg%2F12qg8ywz6!19sChIJP2Kq8fWWyzsRgdSAucjVQqk?authuser=0&hl=en&rclk=1,"17.377695199999998,78.41243999999999"
Ibrahim masjid,Mosque,"Ibrahim masjid, Mujahed Nagar, Nizamabad, Telangana 503001",Mujahed Nagar,Mujahed Nagar,Nizamabad,503001,Telangana,IN,https://www.google.com/maps/place/Ibrahim+masjid/data=!4m7!3m6!1s0x3bcddb1c9cab8d6b:0x4cd6c5d1eebac22d!8m2!3d18.6687702!4d78.0787829!16s%2Fg%2F11b808221d!19sChIJa42rnBzbzTsRLcK67tHF1kw?authuser=0&hl=en&rclk=1,"18.6687702,78.0787829"
"Masjid-e-Taj, Gajulpet",Mosque,"484M+GW7 Masjid-e-Taj, Gajulpet, Gajulpet, Telangana 504106",,484M+GW7,Gajulpet,504106,Telangana,IN,"https://www.google.com/maps/place/Masjid-e-Taj,+Gajulpet/data=!4m7!3m6!1s0x3bcd8b7ecb94f33f:0xa1733fcc34181556!8m2!3d19.1062844!4d78.3347824!16s%2Fg%2F1yg4v7gr2!19sChIJP_OUy36LzTsRVhUYNMw_c6E?authuser=0&hl=en&rclk=1","19.1062844,78.3347824"
Masjid-e-Osman,Mosque,"994X+QVC Masjid-e-Osman, Chevella Rd, Narsa Reddy Colony, Hyder Shah Kote, Bandlaguda Jagir, Telangana 500093","Narsa Reddy Colony, Hyder Shah Kote","994X+QVC, Chevella Rd",Bandlaguda Jagir,500093,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Osman/data=!4m7!3m6!1s0x3bcb966c43a45e3f:0x266a5b11af91b9a8!8m2!3d17.3569337!4d78.3996257!16s%2Fg%2F11bvt6rnmr!19sChIJP16kQ2yWyzsRqLmRrxFbaiY?authuser=0&hl=en&rclk=1,"17.3569337,78.3996257"
Jama Masjid,Mosque,"MGGQ+F5Q Jama Masjid, Jama Masjid Rd, Mahalaxmiwada, Adilabad, Telangana 504001",Mahalaxmiwada,"MGGQ+F5Q, Jama Masjid Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd25c75f87e8a01:0x25a95ee1fbab37d0!8m2!3d19.6762137!4d78.5379985!16s%2Fg%2F1tlqnfwv!19sChIJAYp--HVc0jsR0Der--FeqSU?authuser=0&hl=en&rclk=1,"19.676213699999998,78.5379985"
Gulzaar Masjid,Mosque,"MGCR+66Q Gulzaar Masjid, Bokkalguda St, Brahmanwadi, Adilabad, Telangana 504001",Brahmanwadi,"MGCR+66Q, Bokkalguda St",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Gulzaar+Masjid/data=!4m7!3m6!1s0x3bd25c7477d00337:0x3dc61fe7489f62b1!8m2!3d19.6704596!4d78.5395986!16s%2Fg%2F1tcz6sjz!19sChIJNwPQd3Rc0jsRsWKfSOcfxj0?authuser=0&hl=en&rclk=1,"19.670459599999997,78.53959859999999"
Masjid -E-Khaleel,Mosque,"M3GM+7W6 Masjid -E-Khaleel, Bodhan - Nizamabad Rd, NRI Colony, Arsapally, Nizamabad, Telangana 503001","NRI Colony, Arsapally","M3GM+7W6, Bodhan - Nizamabad Rd",Nizamabad,503001,Telangana,IN,https://www.google.com/maps/place/Masjid+-E-Khaleel/data=!4m7!3m6!1s0x3bcddb177c275625:0x4eaceab29595a17!8m2!3d18.6756547!4d78.0847608!16s%2Fg%2F11c0xr0jzt!19sChIJJVYnfBfbzTsRF1pZKavO6gQ?authuser=0&hl=en&rclk=1,"18.6756547,78.0847608"
Mohammadia Masjid,Mosque,"Mohammadia Masjid, Backside Of Crescent, High School Boys) E/M Muhammadia colony, Mujahed Nagar, Nizamabad, Telangana 503001",Mujahed Nagar,"Backside Of Crescent, High School Boys) E/M Muhammadia colony",Nizamabad,503001,Telangana,IN,https://www.google.com/maps/place/Mohammadia+Masjid/data=!4m7!3m6!1s0x3bcddb1f4e268153:0x783f3951321c2632!8m2!3d18.6691819!4d78.0872789!16s%2Fg%2F11cn5pkfxt!19sChIJU4EmTh_bzTsRMiYcMlE5P3g?authuser=0&hl=en&rclk=1,"18.669181899999998,78.0872789"
Masjid-e-Batha,Mosque,"P2X6+X8V Masjid-e-Batha, Teachers Colony, PR Colony, Mahbubnagar, Telangana 509001","Teachers Colony, PR Colony",P2X6+X8V,Mahbubnagar,509001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Batha/data=!4m7!3m6!1s0x3bca28a82d7aaaeb:0x2ba10d972d966327!8m2!3d16.7499998!4d78.0108073!16s%2Fg%2F12nqgnc6w!19sChIJ66p6LagoyjsRJ2OWLZcNoSs?authuser=0&hl=en&rclk=1,"16.749999799999998,78.0108073"
Madina Masjid,Mosque,"Madina Masjid, x road, near to phulong, Phulong, Nizamabad, Telangana 503001",Phulong,"x road, near to phulong",Nizamabad,503001,Telangana,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bcddb28f6a763a3:0xb0bef05a6971b2a9!8m2!3d18.66805!4d78.1012011!16s%2Fg%2F11b8jcsbwk!19sChIJo2On9ijbzTsRqbJxaVrwvrA?authuser=0&hl=en&rclk=1,"18.66805,78.1012011"
