place_id,place_name,about,link
ChIJmwyxKhJXLToRRJVkJ4_PZiM,Al-Masjid Al-Salafiyya Umm Ul Momineen Aisha Siddiqa Raadhiallahu Anha,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T75OecUL0HuqMJPhgimw3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.57896&pitch=0&thumbfov=100
ChIJmwyxKhJXLToRRJVkJ4_PZiM,Al-Masjid Al-Salafiyya Umm Ul Momineen Aisha Siddiqa Raadhiallahu Anha,By owner,https://lh5.googleusercontent.com/p/AF1QipOLNhpmLUNJ_wEgO2TgYniNCuW-dUIRyAsYZlAI=w394-h298-k-no
ChIJmwyxKhJXLToRRJVkJ4_PZiM,Al-Masjid Al-Salafiyya Umm Ul Momineen Aisha Siddiqa Raadhiallahu Anha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T75OecUL0HuqMJPhgimw3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.57896&pitch=0&thumbfov=100
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNdTCCpjT4t2OBpBahpDVnWNKAVzB0u2qEZpKeP=w397-h298-k-no
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPo2PUhUk-_NBic66BHYz9HLRA1PuHJwnurxWHf=w224-h298-k-no-pi-20-ya349-ro-0-fo100
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOuvlTWfYBRcdP6KLk4Jspx5n0H2HE1EEPHKZ33=w224-h398-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPmV3_7b_4d4-yd3TDYdhSwh-dkAtQLbh-hwyA=w397-h298-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hjurfo0YTHMAMkuvVanxqg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.00403&pitch=0&thumbfov=100
ChIJL9tPP2Rc0jsRbpBCu5n-A6U,Masjid-e-Rahmania,All,https://lh5.googleusercontent.com/p/AF1QipMHL5zu74MW3i6TkU-m_gqirKrkdS5dyhNe1Br1=w397-h298-k-no
ChIJL9tPP2Rc0jsRbpBCu5n-A6U,Masjid-e-Rahmania,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDhroRLm3u1DCNCxfbG1hA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=168.1892&pitch=0&thumbfov=100
ChIJL9tPP2Rc0jsRbpBCu5n-A6U,Masjid-e-Rahmania,Videos,https://lh5.googleusercontent.com/p/AF1QipN0Mynqri9J7QwxHkjsmnO6LM6OymFbx3Pwd--2=w529-h298-k-no
ChIJi8KuDn6RzDsRtMfdZ-EFONs,Masjid-e-Nafees,All,https://lh5.googleusercontent.com/p/AF1QipO3Lw9ZRo8_pP_q26pWqOzyHeqqbSZLLh01aC2A=w224-h298-k-no
ChIJi8KuDn6RzDsRtMfdZ-EFONs,Masjid-e-Nafees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WMb3PvngKUnJBx4v2j7OZQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.268793&pitch=0&thumbfov=100
ChIJi8KuDn6RzDsRtMfdZ-EFONs,Masjid-e-Nafees,Videos,https://lh5.googleusercontent.com/p/AF1QipPMDmQhaxqAdnghXlo0rEls749qeVsneNm1t5mu=w224-h398-k-no
ChIJjQWqe6RWLToRRwJdMfGpyAE,Masjid al-Kausar,All,https://lh5.googleusercontent.com/p/AF1QipMK9pHGT8WIiKHwI53PjC4R1sYHIjqir9miIfnL=w224-h398-k-no
ChIJjQWqe6RWLToRRwJdMfGpyAE,Masjid al-Kausar,Dome,https://lh5.googleusercontent.com/p/AF1QipP5bP0QSmuWnMm8-AcJCLdcQVNKvxvE3J_hwZUL=w602-h298-k-no
ChIJjQWqe6RWLToRRwJdMfGpyAE,Masjid al-Kausar,Videos,https://lh5.googleusercontent.com/p/AF1QipPri3ehzDoIX3jdi5Hy3RQSCSTor1U_8Q3x944C=w529-h298-k-no
ChIJjQWqe6RWLToRRwJdMfGpyAE,Masjid al-Kausar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aBPdprVJzmAXXLtaK-LM7g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.04732&pitch=0&thumbfov=100
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,All,https://lh5.googleusercontent.com/p/AF1QipO_s7rO64wG93YIcBuS6JQ_1TYMJqeHQFlVg1VY=w397-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Dome,https://lh5.googleusercontent.com/p/AF1QipNHmjHjXgfpP2Zu9d-le8RNY-FJC6BKJpNrJs1L=w397-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Videos,https://lh5.googleusercontent.com/p/AF1QipOXCbPtkew6WuGaOFY_ABwGxvaDcIKzLFKX_hg=w518-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TzWRqkK3svgcJm4jbP1L2g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=271.78186&pitch=0&thumbfov=100
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,All,https://lh5.googleusercontent.com/p/AF1QipPyoDMYqI3OO884Ocs9uk4CPjjRa0EOjJ6k8j-q=w397-h298-k-no
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5fxzjQj1QLUlTBK5S_u0Kw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.5925&pitch=0&thumbfov=100
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,Videos,https://lh5.googleusercontent.com/p/AF1QipMHV1tpT_iLVbFwCMg3JnsxtRwnGztyPSPSpHTQ=w224-h398-k-no
ChIJO-uiknhc0jsRYPOPrw07nAg,Mohammadia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMNZySrMDfHyv7Zb18Gnfy_5uK2PcwTNo8s4ERJ=w224-h298-k-no
ChIJG-vUkKpWLToRkEaTstjEnfY,Masjid-e-Irfan,All,https://lh5.googleusercontent.com/p/AF1QipOJvdeWm9p2i5WfvXNiGii8yhGZZxH9_OV2h_c=w447-h298-k-no
ChIJG-vUkKpWLToRkEaTstjEnfY,Masjid-e-Irfan,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNgY3baSWiVIs0xEGSTCzABuJgVWWNV57cjjxTY=w224-h298-k-no-pi-0-ya17.000013-ro-0-fo100
ChIJG-vUkKpWLToRkEaTstjEnfY,Masjid-e-Irfan,Videos,https://lh5.googleusercontent.com/p/AF1QipNRCwjIEAf03aVMe7-iR33jYQX5Ch4kmjEjbsz8=w224-h398-k-no
ChIJq6qq6u1b0jsRmyiSHUGan-I,Masjid_E_Quba,All,https://lh5.googleusercontent.com/p/AF1QipM_2i45qyYhzAh14r7YhaGwxYpd3IWg9t2VLxd6=w397-h298-k-no
ChIJq6qq6u1b0jsRmyiSHUGan-I,Masjid_E_Quba,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gzyk9M54_rg3zqTk-6eHYA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.87372&pitch=0&thumbfov=100
ChIJr56NEVXtzDsRSu1L2OFWW8g,"Masjid-E-Hajera, Murshid Gadda.",All,https://lh5.googleusercontent.com/p/AF1QipO78dtasXbKF_ZlAvoEwUT-LfV4eYH91_lTMrfe=w397-h298-k-no
ChIJr56NEVXtzDsRSu1L2OFWW8g,"Masjid-E-Hajera, Murshid Gadda.",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nW7zW_UGSgmnA_Y8rcMVaA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.17384&pitch=0&thumbfov=100
ChIJ1zQGpIBc0jsRE6ZHbWkGt5k,Masjid-e-Meraj,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1xuctRUJ9_jrUP9mGkgcHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=75.378006&pitch=0&thumbfov=100
ChIJ1zQGpIBc0jsRE6ZHbWkGt5k,Masjid-e-Meraj,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1xuctRUJ9_jrUP9mGkgcHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=75.378006&pitch=0&thumbfov=100
ChIJ0ZTZr3Jc0jsRgrIzXwNP6FU,Masjid E Abubaker,All,https://lh5.googleusercontent.com/p/AF1QipNsiv3Zwshd4f2vzPKsjvZ2xjudRyZrKNnp9bDn=w224-h298-k-no
ChIJ0ZTZr3Jc0jsRgrIzXwNP6FU,Masjid E Abubaker,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dEarHw3mXpnMVH5WKtI28g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=200.17949&pitch=0&thumbfov=100
ChIJISel63arMjoRmICBUA_GGRA,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPpuKfKUFYqzD8AVDvVefNti8v8w-VMS5800gw=w397-h298-k-no
ChIJISel63arMjoRmICBUA_GGRA,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ne2oI7dJPfXYlVeD68mK9g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=254.9167&pitch=0&thumbfov=100
ChIJISel63arMjoRmICBUA_GGRA,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN66ayQGqqm7MuRwyyPmrPlWVUgfce6yGjAwpc=w529-h298-k-no
ChIJUR9e2Ypc0jsRZP3XpowbAMk,Muhammadiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN4g44Bpa4TtFgMpSYVqm8MebTPODSTikB0BIXy=w224-h298-k-no
ChIJUR9e2Ypc0jsRZP3XpowbAMk,Muhammadiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r158dtN6158fStkOLborwA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=87.19213&pitch=0&thumbfov=100
ChIJrxtjxqeu0jsRuipCAEt9uGI,Masjid e Sahaba & Madarsa Tahfiz ul Quraan,All,https://lh5.googleusercontent.com/p/AF1QipOjDbBcr1dKgvKbSCXPIio4hAtHQjXbX8gzmgA=w529-h298-k-no
ChIJrxtjxqeu0jsRuipCAEt9uGI,Masjid e Sahaba & Madarsa Tahfiz ul Quraan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e-OkZCuMPdQadTA1_kK14g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=357.64154&pitch=0&thumbfov=100
ChIJrxtjxqeu0jsRuipCAEt9uGI,Masjid e Sahaba & Madarsa Tahfiz ul Quraan,Videos,https://lh5.googleusercontent.com/p/AF1QipPZdAbgyz8r6tDGUrsxm2OSegQSuhSyyQgmBiEl=w224-h407-k-no
ChIJHW5BTlNRLToR0GmYrkEm47M,Eidghah Congregation Prayer Palace,All,https://lh5.googleusercontent.com/p/AF1QipOgSdmKGyYeF7vCezfVcHLFWxhj2mFKLp1BnEY=w529-h298-k-no
ChIJHW5BTlNRLToR0GmYrkEm47M,Eidghah Congregation Prayer Palace,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aVrAaKxjYDAN4GK95Q0D1g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=224.99507&pitch=0&thumbfov=100
ChIJHW5BTlNRLToR0GmYrkEm47M,Eidghah Congregation Prayer Palace,Videos,https://lh5.googleusercontent.com/p/AF1QipN9dng_eqxkLZgcSPbeEehyeblTSWRKVpo1SNc=w529-h298-k-no
ChIJ9-EJO7lWLToRH4OescqDejU,Masjid e Noorani,All,https://lh5.googleusercontent.com/p/AF1QipOWHMsU6a5QMVCMm6px6ZTu5goWVGVohjBRWKi9=w298-h298-k-no
ChIJ9-EJO7lWLToRH4OescqDejU,Masjid e Noorani,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f3BozefYoP0PMQW9YdqPmA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=129.57904&pitch=0&thumbfov=100
ChIJ9-EJO7lWLToRH4OescqDejU,Masjid e Noorani,Videos,https://lh5.googleusercontent.com/p/AF1QipPK1_5B1xJ7xY7LHVZPKIarXM5DCXnPKFsgtANu=w224-h398-k-no
ChIJWWZuhIlb0jsRT0cgewc27jE,MASJID-E-Bilal,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=621VQEPZ4skDx1HILMA3uw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.99062&pitch=0&thumbfov=100
ChIJWWZuhIlb0jsRT0cgewc27jE,MASJID-E-Bilal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=621VQEPZ4skDx1HILMA3uw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.99062&pitch=0&thumbfov=100
ChIJRc0l27pWLToRhve5e4s9wmQ,Masjid-e-Amera | msjd `myrh,All,https://lh5.googleusercontent.com/p/AF1QipMTobchHPxLJjP8e4aFJs44huTRXLKxEO8i1Vs8=w224-h298-k-no
ChIJRc0l27pWLToRhve5e4s9wmQ,Masjid-e-Amera | msjd `myrh,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cON6R6q7fbAs5fNiXk9eXw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=178.8231&pitch=0&thumbfov=100
ChIJRc0l27pWLToRhve5e4s9wmQ,Masjid-e-Amera | msjd `myrh,Videos,https://lh5.googleusercontent.com/p/AF1QipMwUebNq94UgpL1_m8HmdzuFW_9H93ikTRqSgrE=w224-h398-k-no
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,All,https://lh5.googleusercontent.com/p/AF1QipOBwg-3PqxwiQDwWdWslsNmPI34GqkFcfNqLY8p=w224-h298-k-no
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lF1Elx2f8aK0fGjVNGT8Rw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.39697&pitch=0&thumbfov=100
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,Videos,https://lh5.googleusercontent.com/p/AF1QipOl4xNgs0wjVAfZGwMaAO2ZtwMV9aLFBWvUgr37=w224-h407-k-no
ChIJcakEjq9WLToRaJnqqI3S744,Masjid e Nasar,All,https://lh5.googleusercontent.com/p/AF1QipOHFWh89DT8DMJeAVlMirTJatAhhxf8BhvPrzTW=w529-h298-k-no
ChIJcakEjq9WLToRaJnqqI3S744,Masjid e Nasar,Videos,https://lh5.googleusercontent.com/p/AF1QipOroJofCe9wdI7Hm71Eqmqrom03Fdr3DjsIsSjH=w529-h298-k-no
ChIJpSSpxbBWLToRkoQSPs_1FhY,"Jama Masjid, Kagaznagar",All,https://lh5.googleusercontent.com/p/AF1QipPFrUbEwPBJyFcorVvw5d_OTTEGwqZzVwr0i72y=w397-h298-k-no
ChIJpSSpxbBWLToRkoQSPs_1FhY,"Jama Masjid, Kagaznagar",Dome,https://lh5.googleusercontent.com/p/AF1QipMmTT6SIhfxHQ42l0o6dbez-5FX5Zi68PWeG0SP=w397-h298-k-no
ChIJpSSpxbBWLToRkoQSPs_1FhY,"Jama Masjid, Kagaznagar",Videos,https://lh5.googleusercontent.com/p/AF1QipPUAC-HVt5CD3M3P8dt3dbMoxFs6siL11M65IhB=w224-h398-k-no
ChIJpSSpxbBWLToRkoQSPs_1FhY,"Jama Masjid, Kagaznagar",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7fvoLnmWobaMA-NYv9Jpow&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=324.62238&pitch=0&thumbfov=100
ChIJeQAAKQ1c0jsRk2m5kCAJzKA,Masjid E Hassan,All,https://lh5.googleusercontent.com/p/AF1QipNcCdBHd2u0QKYhnYOap8So5e8L-ozFhrsaHQOq=w529-h298-k-no
ChIJeQAAKQ1c0jsRk2m5kCAJzKA,Masjid E Hassan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WR7kBMdmy-IwAQnXtIeppg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=254.96767&pitch=0&thumbfov=100
ChIJ8SBIBJhv0jsRhpA4M7ctWbA,MADEENA MASJID ECHODA,All,https://lh5.googleusercontent.com/p/AF1QipMaPMXKDMaXjBrt-CwRr0A-q1_GzqhYBUUgB-zr=w224-h398-k-no
