name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid E Shaikh Sahab Pet,Mosque,"Masjid E Shaikh Sahab Pet, Shaikh Sahab Pet, Teachers Colony, Besthawar Pet, Brahmapuri, Nirmal, Telangana 504106","Teachers Colony, Besthawar Pet, Brahmapuri",Shaikh Sahab Pet,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Shaikh+Sahab+Pet/data=!4m7!3m6!1s0x3bcd8b87fcfc70f9:0x89094e6bd421c225!8m2!3d19.1025254!4d78.3497556!16s%2Fg%2F1vc6bvmr!19sChIJ-XD8_IeLzTsRJcIh1GtOCYk?authuser=0&hl=en&rclk=1,"19.102525399999998,78.3497556"
Masjid E Mahboobia,Mosque,"38RV+23Q Masjid E Mahboobia, Madina colony, Eidgoan, Nirmal, Telangana 504106",Eidgoan,"38RV+23Q, Madina colony",Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Mahboobia/data=!4m7!3m6!1s0x3bcd8c7cc72f32ad:0xc87a1e0f04aa3a5d!8m2!3d19.0900799!4d78.3427318!16s%2Fg%2F11b6njqqlh!19sChIJrTIvx3yMzTsRXTqqBA8eesg?authuser=0&hl=en&rclk=1,"19.0900799,78.3427318"
"Masjid-e-Yahya, Gajulpet",Mosque,"485J+MRG Masjid-e-Yahya, Gajulpet, Gajulpet, Telangana 504106",,485J+MRG,Gajulpet,504106,Telangana,IN,"https://www.google.com/maps/place/Masjid-e-Yahya,+Gajulpet/data=!4m7!3m6!1s0x3bcd8b7bcb59113d:0x9c871539096c8956!8m2!3d19.1091943!4d78.3320753!16s%2Fg%2F11c716w5jr!19sChIJPRFZy3uLzTsRVolsCTkVh5w?authuser=0&hl=en&rclk=1","19.1091943,78.3320753"
Masjid E Chand Sultana,Mosque,"Masjid E Chand Sultana, 504106, Vidyanagar, Adharsha Nagar, Nirmal, Telangana 504106","Vidyanagar, Adharsha Nagar",504106,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Chand+Sultana/data=!4m7!3m6!1s0x3bcd8c644575ee19:0x37cd15e32a13fd32!8m2!3d19.0859119!4d78.3464606!16s%2Fg%2F11fzb16hxz!19sChIJGe51RWSMzTsRMv0TKuMVzTc?authuser=0&hl=en&rclk=1,"19.0859119,78.3464606"
Mohammadia Masjid,Mosque,"38JR+55J Mohammadia Masjid, Adharsha Nagar, Nirmal, Telangana 504106",Adharsha Nagar,38JR+55J,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Mohammadia+Masjid/data=!4m7!3m6!1s0x3bcd8c604b0a54d3:0x67084e8473077f46!8m2!3d19.0804551!4d78.340404!16s%2Fg%2F11bzq338xz!19sChIJ01QKS2CMzTsRRn8Hc4ROCGc?authuser=0&hl=en&rclk=1,"19.0804551,78.34040399999999"
Masjid E Mastaniya,Mosque,"38MP+W6H Masjid E Mastaniya, Asra Colony, Adharsha Nagar, Nirmal, Telangana 504106","Asra Colony, Adharsha Nagar",38MP+W6H,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Mastaniya/data=!4m7!3m6!1s0x3bcd8c884b8cf3ad:0xc9b46d1316dfb1a6!8m2!3d19.0848125!4d78.3356094!16s%2Fg%2F11f126_006!19sChIJrfOMS4iMzTsRprHfFhNttMk?authuser=0&hl=en&rclk=1,"19.084812499999998,78.3356094"
Masjid E Bilal Haq,Mosque,"483M+C39 Masjid E Bilal Haq, Nirmal, Gajulpet, Telangana 504106",,"483M+C39, Nirmal",Gajulpet,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Bilal+Haq/data=!4m7!3m6!1s0x3bcd8b7c2b493a63:0xf421e956b0a01151!8m2!3d19.1035383!4d78.3327297!16s%2Fg%2F11dftfsfpm!19sChIJYzpJK3yLzTsRURGgsFbpIfQ?authuser=0&hl=en&rclk=1,"19.1035383,78.3327297"
Kambalposh Masjid,Mosque,"483X+3J9 Kambalposh Masjid, near Islampura, Teachers Colony, Besthawar Pet, Brahmapuri, Nirmal, Telangana 504106","Teachers Colony, Besthawar Pet, Brahmapuri","483X+3J9, near Islampura",Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Kambalposh+Masjid/data=!4m7!3m6!1s0x3bcd8b87c21236b1:0xa29a076725ba96c7!8m2!3d19.1026649!4d78.3491077!16s%2Fg%2F1tfr8n87!19sChIJsTYSwoeLzTsRx5a6JWcHmqI?authuser=0&hl=en&rclk=1,"19.1026649,78.34910769999999"
Masjid-e-Arfath,Mosque,"485P+MVR Masjid-e-Arfath, Gajulpet, Telangana 504106",,485P+MVR,Gajulpet,504106,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Arfath/data=!4m7!3m6!1s0x3bcd8b78f38929b7:0xf1f6598f1f63e972!8m2!3d19.1092323!4d78.3371349!16s%2Fg%2F11g6xq1bxz!19sChIJtymJ83iLzTsRculjH49Z9vE?authuser=0&hl=en&rclk=1,"19.1092323,78.3371349"
Masjid e Khair Unnisa,Mosque,"38MV+W9G Masjid e Khair Unnisa, Eidgoam, Nirmal, Telangana 504106",Eidgoam,38MV+W9G,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Khair+Unnisa/data=!4m7!3m6!1s0x3bcd8c63ec272937:0x3c3ca7aa8f837a71!8m2!3d19.0848121!4d78.3434432!16s%2Fg%2F11bxf29qv6!19sChIJNykn7GOMzTsRcXqDj6qnPDw?authuser=0&hl=en&rclk=1,"19.0848121,78.3434432"
