place_id,place_name,about,link
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,All,https://lh5.googleusercontent.com/p/AF1QipOBwg-3PqxwiQDwWdWslsNmPI34GqkFcfNqLY8p=w224-h298-k-no
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lF1Elx2f8aK0fGjVNGT8Rw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.39697&pitch=0&thumbfov=100
ChIJvS_aY7BWLToRu-yM0UDiIeM,Masjid-e-Qadeem,Videos,https://lh5.googleusercontent.com/p/AF1QipOl4xNgs0wjVAfZGwMaAO2ZtwMV9aLFBWvUgr37=w224-h407-k-no
ChIJgQT9WkJFLToR2EJnK_gDgLs,Masjid e Khadim,All,https://lh5.googleusercontent.com/p/AF1QipOfuQ4n_zPZN9wqnZCIllvRUjsQSVmAS2UxrQxF=w397-h298-k-no
ChIJgQT9WkJFLToR2EJnK_gDgLs,Masjid e Khadim,Dome,https://lh5.googleusercontent.com/p/AF1QipMIvY8q6kvq7-HsNoo1uNx7KZmawDbk8eCFkMQv=w529-h298-k-no
ChIJgQT9WkJFLToR2EJnK_gDgLs,Masjid e Khadim,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XpsKUvhq5rkraDVD1IjHjQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=22.05062&pitch=0&thumbfov=100
ChIJ0cwETjVRLToRw1TBV0MfV8Y,Masjid E Mujtab Sunnatul Jamat,All,https://lh5.googleusercontent.com/p/AF1QipN5ts7NJwBBhIsMqdJ1HgLQn8yk5F7Aw_ffoS_7=w224-h298-k-no
ChIJ0cwETjVRLToRw1TBV0MfV8Y,Masjid E Mujtab Sunnatul Jamat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=54Wj68RDD7qGfDChD8PIUg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.28604&pitch=0&thumbfov=100
ChIJ0cwETjVRLToRw1TBV0MfV8Y,Masjid E Mujtab Sunnatul Jamat,Videos,https://lh5.googleusercontent.com/p/AF1QipNA05TpOm1TdKIT5DxU5tGdtLh13xBSfRLnYQLy=w224-h398-k-no
ChIJ8wVVMcdWLToRcuzgtP0wg0c,Masjid-e-Aamina,All,https://lh5.googleusercontent.com/p/AF1QipODH33fG4U46skx3CkRO7LLgYBhOYV2htvxcchg=w397-h298-k-no
ChIJDWrk-alWLToRkD2JmUAogJo,Masjid e Taiba,All,https://lh5.googleusercontent.com/p/AF1QipP-_tJylHJYPGDTf4C3J3UV1i3q0fS_-MyfQMk=w529-h298-k-no
ChIJC7QoZslRLToRLam7Z38GHXs,MASJID E QUBA,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eNF7Uq4k67ASG-hFDGOyGg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=283.48083&pitch=0&thumbfov=100
ChIJC7QoZslRLToRLam7Z38GHXs,MASJID E QUBA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eNF7Uq4k67ASG-hFDGOyGg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=283.48083&pitch=0&thumbfov=100
ChIJVX6rojxXLToRLVNVmv2RbA0,Masjid-e-Aqsa,All,https://lh5.googleusercontent.com/p/AF1QipMtcF_J5c1x5eL0ttuyJF1YT9tFftz950TP3zkN=w397-h298-k-no
ChIJVX6rojxXLToRLVNVmv2RbA0,Masjid-e-Aqsa,By owner,https://lh5.googleusercontent.com/p/AF1QipNDf5dedt1aFE_aS7geX0h4-h_cZSacmzUekqoT=w224-h499-k-no
ChIJVX6rojxXLToRLVNVmv2RbA0,Masjid-e-Aqsa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9bFm8Bo8CevBLb89pc0Rag&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=249.0782&pitch=0&thumbfov=100
ChIJneQT_9hRLToRxeNK24j64iY,Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C01vAFGk5W1IgQ9PC6PDlg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.7122&pitch=0&thumbfov=100
ChIJneQT_9hRLToRxeNK24j64iY,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C01vAFGk5W1IgQ9PC6PDlg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.7122&pitch=0&thumbfov=100
ChIJAQNVyUZXLToRG0J-VRoOWhU,Masjid e Mohiuddin,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qVlQPJC6QRbCpRXYmIiyCA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.40591&pitch=0&thumbfov=100
ChIJAQNVyUZXLToRG0J-VRoOWhU,Masjid e Mohiuddin,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qVlQPJC6QRbCpRXYmIiyCA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.40591&pitch=0&thumbfov=100
ChIJ__-_bHJc0jsRDCa0VQejyNw,Masjid-E-Kausar,All,https://lh5.googleusercontent.com/p/AF1QipMu_hBLXfEJaMshLwRNSLhcAhS0GAp09HMIfTSl=w224-h497-k-no
ChIJ__-_bHJc0jsRDCa0VQejyNw,Masjid-E-Kausar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=msITvqvn7i8QMX0pUqt3mg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=303.53305&pitch=0&thumbfov=100
