place_id,place_name,about,link
ChIJ2YJH64-fzTsRdUxFupwBhbk,"Madeena Masjid,Barkatpura",All,https://lh5.googleusercontent.com/p/AF1QipM55Xqu4sJhcCIZzgtWWHMZDqKUyFC0nBac0Lku=w662-h298-k-no
ChIJ2YJH64-fzTsRdUxFupwBhbk,"Madeena Masjid,Barkatpura",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SJROjX9oCZtz7zKDrQqt4Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=250.63751&pitch=0&thumbfov=100
ChIJ2YJH64-fzTsRdUxFupwBhbk,"Madeena Masjid,Barkatpura",Videos,https://lh5.googleusercontent.com/p/AF1QipN9YdjUZWZQPgNxKy3jbOhTUJwD-djnA3oFOIrM=w238-h298-k-no
ChIJL6hfPex5zTsRCLkSqA95SVg,jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipO7cPLYui7C6UudwUVw6MRBPllCPeLh8JyKdNzw=w529-h298-k-no
ChIJL6hfPex5zTsRCLkSqA95SVg,jama masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPzjIl6Jm0F__TjrtjKjxDKVJroE005VvewekiR=w328-h298-k-no
ChIJL6hfPex5zTsRCLkSqA95SVg,jama masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMrE73PQgGYT0thdoboMJ7BfOKP679aZviGf1G8=w224-h398-k-no
ChIJL6hfPex5zTsRCLkSqA95SVg,jama masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WZuRZH5CceJn0YArfbAZQw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=315.44012&pitch=0&thumbfov=100
ChIJr5Let1KEzTsRm6UyenGFX5I,"Jaama Masjid, Mamda",All,https://lh5.googleusercontent.com/p/AF1QipP4vSr4iJiSVhT33RJumXnTNBqXlau9Cgw1R3Dp=w529-h298-k-no
ChIJ2_dDJbSF0jsRQdo-qjwIyfs,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNgXmzFIiNb7KaR81NcbxAJRB6oTxPerNoIubTa=w224-h398-k-no
ChIJ2_dDJbSF0jsRQdo-qjwIyfs,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nj6ibS_16-ovKF3omhppBw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.1434&pitch=0&thumbfov=100
ChIJSStVGUVyzTsRWtTPdHVPfRk,MADINA MASJID,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e5m2uI8wyuWda6t31lc4-w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=182.1024&pitch=0&thumbfov=100
ChIJSStVGUVyzTsRWtTPdHVPfRk,MADINA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e5m2uI8wyuWda6t31lc4-w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=182.1024&pitch=0&thumbfov=100
ChIJq1NOybRvzTsRk8JuezzMPKk,Katkapur Mosque (kttkaapuur msiidu),All,https://lh5.googleusercontent.com/p/AF1QipOCR9j9_LnbnAuultd6Yzgww-hDWgIraZIaWvGL=w529-h298-k-no
ChIJq1NOybRvzTsRk8JuezzMPKk,Katkapur Mosque (kttkaapuur msiidu),Dome,https://lh5.googleusercontent.com/p/AF1QipNYD2zZDYmXmTy1r4ReVJChyOc35PT_T3YXsKd3=w529-h298-k-no
ChIJq1NOybRvzTsRk8JuezzMPKk,Katkapur Mosque (kttkaapuur msiidu),By owner,https://lh5.googleusercontent.com/p/AF1QipNqkc1Yv-rBSyo4FhkdgOVMYVq9G1r5tzRrdaO8=w529-h298-k-no
ChIJt7OvdoWDzTsRXdawak3Melc,Madina Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5nWarrv7h0IVaxVBGd1iOA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.02626&pitch=0&thumbfov=100
ChIJt7OvdoWDzTsRXdawak3Melc,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5nWarrv7h0IVaxVBGd1iOA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.02626&pitch=0&thumbfov=100
ChIJd4F_ImBmzTsRpA66J7g5eOY,Masjid-e-Abdullah,All,https://lh5.googleusercontent.com/p/AF1QipOvo_w25BNUkR6QwLBoSQWlYLE-F8vV2JpFpqZH=w529-h298-k-no
ChIJd4F_ImBmzTsRpA66J7g5eOY,Masjid-e-Abdullah,Videos,https://lh5.googleusercontent.com/p/AF1QipMp4uSDSodWbXNP4k8QvYtA62lWwcbTMV1okx9r=w298-h298-k-no
ChIJUZCaZcB5zTsRfZm4PTb-9_Y,Masjid-e-Nabawi,All,https://lh5.googleusercontent.com/p/AF1QipPpgIV5G_5tifIPRPNEPHzmpeau_bsK7vONX1mu=w397-h298-k-no
ChIJUZCaZcB5zTsRfZm4PTb-9_Y,Masjid-e-Nabawi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5hTwZmZr5c-KMUcWDMADGQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=171.65572&pitch=0&thumbfov=100
ChIJ7U5I2rx7zTsR_jFu9xLahuI,Mosque,All,https://lh5.googleusercontent.com/p/AF1QipO1OlYO9RzRQKlxFdXVS0yZ9KA9nft13EhotUjH=w397-h298-k-no
ChIJ7U5I2rx7zTsR_jFu9xLahuI,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UoMifD-RlQsq1hWydNKGKA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=347.81848&pitch=0&thumbfov=100
ChIJezekve55zTsRQb1YEDxbp60,mohammadiya masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ur1bh_SFJf0VqF6SP-sPZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.75418&pitch=0&thumbfov=100
ChIJezekve55zTsRQb1YEDxbp60,mohammadiya masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ur1bh_SFJf0VqF6SP-sPZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.75418&pitch=0&thumbfov=100
ChIJZbUfrlZ3zTsR8XZlXp3CMrM,MASJID E MAGHFIRATH,All,https://lh5.googleusercontent.com/p/AF1QipNFh9DVojCfMNN6FXLDI0zItxX_xX0WP9XvXJJm=w224-h473-k-no
ChIJZbUfrlZ3zTsR8XZlXp3CMrM,MASJID E MAGHFIRATH,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ypTUzD3DiV-qhDJhzCjWkw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=143.06729&pitch=0&thumbfov=100
ChIJdy-sND5nzTsRX3oN8_pxL8M,Choti Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Idh00paMelYeBIsU85mM7w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=214.03764&pitch=0&thumbfov=100
ChIJdy-sND5nzTsRX3oN8_pxL8M,Choti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Idh00paMelYeBIsU85mM7w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=214.03764&pitch=0&thumbfov=100
ChIJN1Bn54uDzTsRDPLre2Pyzh4,Masjid E Abu Bakar,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IcAUDzvDKqt1_MbvjLgIsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=292.50937&pitch=0&thumbfov=100
ChIJN1Bn54uDzTsRDPLre2Pyzh4,Masjid E Abu Bakar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IcAUDzvDKqt1_MbvjLgIsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=292.50937&pitch=0&thumbfov=100
ChIJ1UZwqFKDzTsRkhRzx9tYUt8,MASJID-E-YAQOOB,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I3pIPfFYoubgfm6NXZChSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=143.42294&pitch=0&thumbfov=100
ChIJ1UZwqFKDzTsRkhRzx9tYUt8,MASJID-E-YAQOOB,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I3pIPfFYoubgfm6NXZChSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=143.42294&pitch=0&thumbfov=100
ChIJ-wjYib-BzTsRgz0x8liAg5Y,MASJID MANDAPALLY,All,https://lh5.googleusercontent.com/p/AF1QipPJkXs-KvUYK0-Qai61xIf042SacAzbEIH9hpM2=w529-h298-k-no
ChIJ-wjYib-BzTsRgz0x8liAg5Y,MASJID MANDAPALLY,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V93N4Zo2HgwJd_wi9O5tPw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=247.71721&pitch=0&thumbfov=100
ChIJuyzMxyF6zTsRSHet-IUS4ek,masjid,All,https://lh5.googleusercontent.com/p/AF1QipPBAhATuAUiMM3bWDI2nhj_0pcfJo-TRC_99CxJ=w397-h298-k-no
ChIJuyzMxyF6zTsRSHet-IUS4ek,masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipPBAhATuAUiMM3bWDI2nhj_0pcfJo-TRC_99CxJ=w397-h298-k-no
ChIJuyzMxyF6zTsRSHet-IUS4ek,masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cQMbSXPzICN93AxaMWA6zA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=112.70996&pitch=0&thumbfov=100
ChIJ4xb_CIp7zTsR-vYuBXHetXw,Jama Masjid Kaddam,All,https://lh5.googleusercontent.com/p/AF1QipO1OlYO9RzRQKlxFdXVS0yZ9KA9nft13EhotUjH=w397-h298-k-no
ChIJ4xb_CIp7zTsR-vYuBXHetXw,Jama Masjid Kaddam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8KRJEsUMM-Qryt1YKfTnmw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=63.53963&pitch=0&thumbfov=100
ChIJ4xb_CIp7zTsR-vYuBXHetXw,Jama Masjid Kaddam,Videos,https://lh5.googleusercontent.com/p/AF1QipPt9Oils_LH2dmaFR4Irf05HzdIiUV9ZKce21so=w224-h442-k-no
ChIJB-CN-lFlzTsR2Nje_aapbR8,Masjid E Fatima Yousuf,All,https://lh5.googleusercontent.com/p/AF1QipN1p7OTMjxWJivvD3RWPioNyKiqrk_1CdlBVI5s=w529-h298-k-no
ChIJA_rt4dR5zTsRIz5m0pi88Tk,MASJID E QUBA,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZHNvpSLQgpASYpr_vTKtHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.236848&pitch=0&thumbfov=100
ChIJA_rt4dR5zTsRIz5m0pi88Tk,MASJID E QUBA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZHNvpSLQgpASYpr_vTKtHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.236848&pitch=0&thumbfov=100
ChIJ7-aBuOB1zTsR11LILNA3Hl8,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hKXJmO81ALdbwzY0e3HIxw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=81.74761&pitch=0&thumbfov=100
ChIJ7-aBuOB1zTsR11LILNA3Hl8,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hKXJmO81ALdbwzY0e3HIxw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=81.74761&pitch=0&thumbfov=100
ChIJY4UFQT53zTsRyHArEzhS-9U,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_hN44lbzeX9F5OuUmYtXDw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.63605&pitch=0&thumbfov=100
ChIJY4UFQT53zTsRyHArEzhS-9U,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_hN44lbzeX9F5OuUmYtXDw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.63605&pitch=0&thumbfov=100
ChIJCdSun9thzTsRkuIrt1Fz5cg,Jama masjid kawal,All,https://lh5.googleusercontent.com/p/AF1QipMXusNH4XCR44lGjxWf8tLh2J_r4oCcA5suEn3j=w224-h510-k-no
ChIJCdSun9thzTsRkuIrt1Fz5cg,Jama masjid kawal,By owner,https://lh5.googleusercontent.com/p/AF1QipMXusNH4XCR44lGjxWf8tLh2J_r4oCcA5suEn3j=w224-h510-k-no
ChIJt60j85xzzTsRVCo3KtOvPdQ,Maszid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7qOGScMh4DZMvzBqfJTpAA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=45.188793&pitch=0&thumbfov=100
ChIJt60j85xzzTsRVCo3KtOvPdQ,Maszid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7qOGScMh4DZMvzBqfJTpAA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=45.188793&pitch=0&thumbfov=100
ChIJJezPJmyDzTsRCMAPa3ZOr8c,Shaik ramzan house,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NJrwpMnlp0lHaP6SSL37-A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=250.88914&pitch=0&thumbfov=100
ChIJJezPJmyDzTsRCMAPa3ZOr8c,Shaik ramzan house,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NJrwpMnlp0lHaP6SSL37-A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=250.88914&pitch=0&thumbfov=100
ChIJqYP-DcN1zTsRUOUn1g7cU_Y,Jame masjid ailapur,All,https://lh5.googleusercontent.com/p/AF1QipO6XyR5RpEzXfeReyntIQsso15pMbc1HDUIbJ0B=w529-h298-k-no
ChIJS1VbRttxzTsRi2wA2tfSut0,Mootapally Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qPbQEd4ZtdkgXZFLwZ-iig&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=3.2574725&pitch=0&thumbfov=100
ChIJS1VbRttxzTsRi2wA2tfSut0,Mootapally Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qPbQEd4ZtdkgXZFLwZ-iig&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=3.2574725&pitch=0&thumbfov=100
ChIJAwcZeDmBzTsRL_SPGAYFWkQ,Masjid Rajura,All,https://lh5.googleusercontent.com/p/AF1QipON_4DPvXxK5DSfh3N12frSdzOcx4DHXwjEKCuw=w529-h298-k-no
