name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jame e Masjid,Mosque,"RQH3+644 Jame e Masjid, Venkatapur, Telangana 505326",,RQH3+644,Venkatapur,505326,Telangana,IN,https://www.google.com/maps/place/Jame+e+Masjid/data=!4m7!3m6!1s0x3bcd0ca1530e0327:0x3685976d8ab2a4b1!8m2!3d18.8280248!4d78.7528321!16s%2Fg%2F11c30sywj1!19sChIJJwMOU6EMzTsRsaSyim2XhTY?authuser=0&hl=en&rclk=1,"18.828024799999998,78.75283209999999"
Jam-E-Masjid (korutla),Mosque,"Jam-E-Masjid (korutla), Nizampura, Korutla, Telangana 505326",Nizampura,,Korutla,505326,Telangana,IN,https://www.google.com/maps/place/Jam-E-Masjid+%28korutla%29/data=!4m7!3m6!1s0x3bcd0b186c759cf3:0x659d4698d4bde07c!8m2!3d18.8187274!4d78.7119368!16s%2Fg%2F1hf6jkgv5!19sChIJ85x1bBgLzTsRfOC91JhGnWU?authuser=0&hl=en&rclk=1,"18.8187274,78.71193679999999"
Masjid -e- Ayesha,Mosque,"Masjid -e- Ayesha, Bheemuni Dubba, Rahmath Pura, Korutla, Telangana 505326","Bheemuni Dubba, Rahmath Pura",,Korutla,505326,Telangana,IN,https://www.google.com/maps/place/Masjid+-e-+Ayesha/data=!4m7!3m6!1s0x3bcd0b3bdf53722d:0xb8010ac30d2a5435!8m2!3d18.8279431!4d78.7192512!16s%2Fg%2F11cffzvh4!19sChIJLXJT3zsLzTsRNVQqDcMKAbg?authuser=0&hl=en&rclk=1,"18.8279431,78.7192512"
EK MINAR Masjid Gajulpet,Mosque,"VJ4H+65V EK MINAR Masjid Gajulpet, Metpally, Telangana 505325",,VJ4H+65V,Metpally,505325,Telangana,IN,https://www.google.com/maps/place/EK+MINAR+Masjid+Gajulpet/data=!4m7!3m6!1s0x3bcd9f9152eb8917:0x13ddf12d59bc2b37!8m2!3d18.8556199!4d78.6279287!16s%2Fg%2F11b6gl0r7c!19sChIJF4nrUpGfzTsRNyu8WS3x3RM?authuser=0&hl=en&rclk=1,"18.8556199,78.6279287"
"Jamae Masjid ,, Muslimpura",Mosque,"VJ2G+6JF Jamae Masjid ,, Muslimpura, Muslimpura, Head Post Office Rd, Chaitanya Nagar, Metpally, Telangana 505325","Jai Shree Ram Nagar, Chaitanya Nagar","VJ2G+6JF, Muslimpura, Head Post Office Rd",Metpally,505325,Telangana,IN,"https://www.google.com/maps/place/Jamae+Masjid+,,+Muslimpura/data=!4m7!3m6!1s0x3bcd9f91c5192a0b:0xedbe9c4d704f2203!8m2!3d18.8505562!4d78.6265513!16s%2Fg%2F11b6grqrs8!19sChIJCyoZxZGfzTsRAyJPcE2cvu0?authuser=0&hl=en&rclk=1","18.8505562,78.6265513"
Masjide Jamal . Sultanpura Metpally,Mosque,"RJRC+JR9 Masjide Jamal . Sultanpura Metpally, Sultanpura, Boyawada, Metpally, Telangana 505325","Sultanpura, Boyawada",RJRC+JR9,Metpally,505325,Telangana,IN,https://www.google.com/maps/place/Masjide+Jamal+.+Sultanpura+Metpally/data=!4m7!3m6!1s0x3bcd9f863ad1dec7:0xc6953b78602002fd!8m2!3d18.8415373!4d78.6221122!16s%2Fg%2F11btm18_5t!19sChIJx97ROoafzTsR_QIgYHg7lcY?authuser=0&hl=en&rclk=1,"18.8415373,78.62211219999999"
Masjid-e-omar,Mosque,"Masjid-e-omar, Street number 4, Masjid-e-Omar Rd, Mominpura, Korutla, Telangana 505326","Sairampura Colony, Mominpura","Street number 4, Masjid-e-Omar Rd",Korutla,505326,Telangana,IN,https://www.google.com/maps/place/Masjid-e-omar/data=!4m7!3m6!1s0x3bcd0b3e2e4fa021:0x13d39f3cc50b6ab3!8m2!3d18.8209895!4d78.7216232!16s%2Fg%2F11b7jhby1b!19sChIJIaBPLj4LzTsRs2oLxTyf0xM?authuser=0&hl=en&rclk=1,"18.8209895,78.7216232"
Bismillah Masjid,Mosque,"RJXG+4RJ Bismillah Masjid, Chaitanya Nagar, Metpally, Telangana 505325",Chaitanya Nagar,RJXG+4RJ,Metpally,505325,Telangana,IN,https://www.google.com/maps/place/Bismillah+Masjid/data=!4m7!3m6!1s0x3bcd9f912298a2cf:0x462adc9195938487!8m2!3d18.8478281!4d78.627007!16s%2Fg%2F11b6gpdw2g!19sChIJz6KYIpGfzTsRh4STlZHcKkY?authuser=0&hl=en&rclk=1,"18.847828099999997,78.62700699999999"
Morthad Masjid,Mosque,"RFG4+J3W Morthad Masjid, Nizamabad, Mortad, Telangana 503225",,RFG4+J3W,"Nizamabad, Mortad",503225,Telangana,IN,https://www.google.com/maps/place/Morthad+Masjid/data=!4m7!3m6!1s0x3bcdbd5f9d40b315:0x5a0dad30e23ddda!8m2!3d18.8266017!4d78.4552162!16s%2Fg%2F11c72vbkw5!19sChIJFbNAnV-9zTsR2t0jDtPaoAU?authuser=0&hl=en&rclk=1,"18.826601699999998,78.4552162"
"Masjid Al Huda, Eidgah",Mosque,"RJWF+H6X Masjid Al Huda, Eidgah, NH 16, Boyawada, Metpally, Telangana 505325",Boyawada,"RJWF+H6X, NH 16",Metpally,505325,Telangana,IN,"https://www.google.com/maps/place/Masjid+Al+Huda,+Eidgah/data=!4m7!3m6!1s0x3bcd9f8f7f6be0f1:0x33d8a6d45cc53bb4!8m2!3d18.8464967!4d78.6231137!16s%2Fg%2F11b8v9hh9b!19sChIJ8eBrf4-fzTsRtDvFXNSm2DM?authuser=0&hl=en&rclk=1","18.8464967,78.62311369999999"
