place_id,place_name,about,link
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNdTCCpjT4t2OBpBahpDVnWNKAVzB0u2qEZpKeP=w397-h298-k-no
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPo2PUhUk-_NBic66BHYz9HLRA1PuHJwnurxWHf=w224-h298-k-no-pi-20-ya349-ro-0-fo100
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOuvlTWfYBRcdP6KLk4Jspx5n0H2HE1EEPHKZ33=w224-h398-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPmV3_7b_4d4-yd3TDYdhSwh-dkAtQLbh-hwyA=w397-h298-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hjurfo0YTHMAMkuvVanxqg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.00403&pitch=0&thumbfov=100
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,All,https://lh5.googleusercontent.com/p/AF1QipO_s7rO64wG93YIcBuS6JQ_1TYMJqeHQFlVg1VY=w397-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Dome,https://lh5.googleusercontent.com/p/AF1QipNHmjHjXgfpP2Zu9d-le8RNY-FJC6BKJpNrJs1L=w397-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Videos,https://lh5.googleusercontent.com/p/AF1QipOXCbPtkew6WuGaOFY_ABwGxvaDcIKzLFKX_hg=w518-h298-k-no
ChIJizFLWUX-zTsRTt07DXpSpKk,Masjid Panjesha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TzWRqkK3svgcJm4jbP1L2g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=271.78186&pitch=0&thumbfov=100
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,All,https://lh5.googleusercontent.com/p/AF1QipPyoDMYqI3OO884Ocs9uk4CPjjRa0EOjJ6k8j-q=w397-h298-k-no
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5fxzjQj1QLUlTBK5S_u0Kw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.5925&pitch=0&thumbfov=100
ChIJhxGJd39b0jsRAYLGIiWdTdY,Masjid e Noor Khursheed Nagar,Videos,https://lh5.googleusercontent.com/p/AF1QipMHV1tpT_iLVbFwCMg3JnsxtRwnGztyPSPSpHTQ=w224-h398-k-no
ChIJyY6KgPF60jsRjnIDE5wVUos,Narsapur,All,https://lh5.googleusercontent.com/p/AF1QipPCO2o9hxQUT1ZD9G-2wcodoNJUOdhK5aoyU6De=w397-h298-k-no
ChIJyY6KgPF60jsRjnIDE5wVUos,Narsapur,Latest,https://lh5.googleusercontent.com/p/AF1QipN95pt8QUNyR7PX4FgzOBeLT9XPbgI8PsDdKKNe=w224-h398-k-no
ChIJyY6KgPF60jsRjnIDE5wVUos,Narsapur,Videos,https://lh5.googleusercontent.com/p/AF1QipNzqkjc76tb0hap24MZKP9aTseQoreWCYJ8MwjE=w224-h398-k-no
ChIJyY6KgPF60jsRjnIDE5wVUos,Narsapur,By owner,https://lh5.googleusercontent.com/p/AF1QipPxgwT6WKwhkovBwrD8SaeNqOpFI9tCV-71BeUc=w529-h298-k-no
ChIJwXB4jodc0jsRmOHcIy7JJI4,Masjid Badar,All,https://lh5.googleusercontent.com/p/AF1QipNrUkg_l_B4UMMvXho7O753ZYAQlKUrCUcGFlIT=w224-h299-k-no
ChIJwXB4jodc0jsRmOHcIy7JJI4,Masjid Badar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PwVwUyHHWMAlijvU5bbxWQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=117.6745&pitch=0&thumbfov=100
ChIJXQLAa1v-zTsRo9KP03C3T4U,Osman Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMJk-qQCTUMu7cD5Elt9Zqk6YOwEwkijfuR4K7W=w224-h298-k-no
