name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"MGGQ+F5Q Jama Masjid, Jama Masjid Rd, Mahalaxmiwada, Adilabad, Telangana 504001",Mahalaxmiwada,"MGGQ+F5Q, Jama Masjid Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd25c75f87e8a01:0x25a95ee1fbab37d0!8m2!3d19.6762137!4d78.5379985!16s%2Fg%2F1tlqnfwv!19sChIJAYp--HVc0jsR0Der--FeqSU?authuser=0&hl=en&rclk=1,"19.676213699999998,78.5379985"
Gulzaar Masjid,Mosque,"MGCR+66Q Gulzaar Masjid, Bokkalguda St, Brahmanwadi, Adilabad, Telangana 504001",Brahmanwadi,"MGCR+66Q, Bokkalguda St",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Gulzaar+Masjid/data=!4m7!3m6!1s0x3bd25c7477d00337:0x3dc61fe7489f62b1!8m2!3d19.6704596!4d78.5395986!16s%2Fg%2F1tcz6sjz!19sChIJNwPQd3Rc0jsRsWKfSOcfxj0?authuser=0&hl=en&rclk=1,"19.670459599999997,78.53959859999999"
Madina Masjid,Mosque,"Madina Masjid, x road, near to phulong, Phulong, Nizamabad, Telangana 503001",Phulong,"x road, near to phulong",Nizamabad,503001,Telangana,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bcddb28f6a763a3:0xb0bef05a6971b2a9!8m2!3d18.66805!4d78.1012011!16s%2Fg%2F11b8jcsbwk!19sChIJo2On9ijbzTsRqbJxaVrwvrA?authuser=0&hl=en&rclk=1,"18.66805,78.1012011"
Masjid E Mahboobia,Mosque,"38RV+23Q Masjid E Mahboobia, Madina colony, Eidgoan, Nirmal, Telangana 504106",Eidgoan,"38RV+23Q, Madina colony",Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Mahboobia/data=!4m7!3m6!1s0x3bcd8c7cc72f32ad:0xc87a1e0f04aa3a5d!8m2!3d19.0900799!4d78.3427318!16s%2Fg%2F11b6njqqlh!19sChIJrTIvx3yMzTsRXTqqBA8eesg?authuser=0&hl=en&rclk=1,"19.0900799,78.3427318"
"Masjid-e-Yahya, Gajulpet",Mosque,"485J+MRG Masjid-e-Yahya, Gajulpet, Gajulpet, Telangana 504106",,485J+MRG,Gajulpet,504106,Telangana,IN,"https://www.google.com/maps/place/Masjid-e-Yahya,+Gajulpet/data=!4m7!3m6!1s0x3bcd8b7bcb59113d:0x9c871539096c8956!8m2!3d19.1091943!4d78.3320753!16s%2Fg%2F11c716w5jr!19sChIJPRFZy3uLzTsRVolsCTkVh5w?authuser=0&hl=en&rclk=1","19.1091943,78.3320753"
Masjid Panjesha,Mosque,"Masjid Panjesha, masjid, panjesha marg, Bhainsa, Telangana 504103",,"masjid, panjesha marg",Bhainsa,,Telangana,IN,https://www.google.com/maps/place/Masjid+Panjesha/data=!4m7!3m6!1s0x3bcdfe45594b318b:0xa9a4527a0d3bdd4e!8m2!3d19.1114013!4d77.9614446!16s%2Fg%2F11xfvxc4m!19sChIJizFLWUX-zTsRTt07DXpSpKk?authuser=0&hl=en&rclk=1,"19.1114013,77.9614446"
Masjid e Noor Khursheed Nagar,Mosque,"Masjid e Noor Khursheed Nagar, khursheed Nagar, Adilabad, Telangana 504001",khursheed Nagar,,Adilabad,,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Noor+Khursheed+Nagar/data=!4m7!3m6!1s0x3bd25b7f77891187:0xd64d9d2522c68201!8m2!3d19.6780656!4d78.5199255!16s%2Fg%2F1pp2x6dd1!19sChIJhxGJd39b0jsRAYLGIiWdTdY?authuser=0&hl=en&rclk=1,"19.6780656,78.5199255"
Mohammadia Masjid,Mosque,"38JR+55J Mohammadia Masjid, Adharsha Nagar, Nirmal, Telangana 504106",Adharsha Nagar,38JR+55J,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Mohammadia+Masjid/data=!4m7!3m6!1s0x3bcd8c604b0a54d3:0x67084e8473077f46!8m2!3d19.0804551!4d78.340404!16s%2Fg%2F11bzq338xz!19sChIJ01QKS2CMzTsRRn8Hc4ROCGc?authuser=0&hl=en&rclk=1,"19.0804551,78.34040399999999"
Masjid E Bilal Haq,Mosque,"483M+C39 Masjid E Bilal Haq, Nirmal, Gajulpet, Telangana 504106",,"483M+C39, Nirmal",Gajulpet,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Bilal+Haq/data=!4m7!3m6!1s0x3bcd8b7c2b493a63:0xf421e956b0a01151!8m2!3d19.1035383!4d78.3327297!16s%2Fg%2F11dftfsfpm!19sChIJYzpJK3yLzTsRURGgsFbpIfQ?authuser=0&hl=en&rclk=1,"19.1035383,78.3327297"
Masjid E Mastaniya,Mosque,"38MP+W6H Masjid E Mastaniya, Asra Colony, Adharsha Nagar, Nirmal, Telangana 504106","Asra Colony, Adharsha Nagar",38MP+W6H,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Mastaniya/data=!4m7!3m6!1s0x3bcd8c884b8cf3ad:0xc9b46d1316dfb1a6!8m2!3d19.0848125!4d78.3356094!16s%2Fg%2F11f126_006!19sChIJrfOMS4iMzTsRprHfFhNttMk?authuser=0&hl=en&rclk=1,"19.084812499999998,78.3356094"
Kambalposh Masjid,Mosque,"483X+3J9 Kambalposh Masjid, near Islampura, Teachers Colony, Besthawar Pet, Brahmapuri, Nirmal, Telangana 504106","Teachers Colony, Besthawar Pet, Brahmapuri","483X+3J9, near Islampura",Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Kambalposh+Masjid/data=!4m7!3m6!1s0x3bcd8b87c21236b1:0xa29a076725ba96c7!8m2!3d19.1026649!4d78.3491077!16s%2Fg%2F1tfr8n87!19sChIJsTYSwoeLzTsRx5a6JWcHmqI?authuser=0&hl=en&rclk=1,"19.1026649,78.34910769999999"
Masjid-e-Arfath,Mosque,"485P+MVR Masjid-e-Arfath, Gajulpet, Telangana 504106",,485P+MVR,Gajulpet,504106,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Arfath/data=!4m7!3m6!1s0x3bcd8b78f38929b7:0xf1f6598f1f63e972!8m2!3d19.1092323!4d78.3371349!16s%2Fg%2F11g6xq1bxz!19sChIJtymJ83iLzTsRculjH49Z9vE?authuser=0&hl=en&rclk=1,"19.1092323,78.3371349"
Budharpet Masjid,Mosque,"483V+F49 Budharpet Masjid, Pinjari Gutta, Nirmal, Telangana 504106",Pinjari Gutta,483V+F49,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Budharpet+Masjid/data=!4m7!3m6!1s0x3bcd8b80c2fc5e99:0xbd732aff04f66e07!8m2!3d19.1036542!4d78.3428597!16s%2Fg%2F11dxchc4cr!19sChIJmV78woCLzTsRB272BP8qc70?authuser=0&hl=en&rclk=1,"19.103654199999998,78.34285969999999"
MASJID - E - RIYAZUL HAQ,Mosque,"38WX+Q76 MASJID - E - RIYAZUL HAQ, Bagulwada, Nirmal, Telangana 504106",Bagulwada,38WX+Q76,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/MASJID+-+E+-+RIYAZUL+HAQ/data=!4m7!3m6!1s0x3bcd8c79971e96a1:0x16fef0fe66a6bb49!8m2!3d19.0969176!4d78.3481556!16s%2Fg%2F11ddxp28l8!19sChIJoZYel3mMzTsRSbumZv7w_hY?authuser=0&hl=en&rclk=1,"19.096917599999998,78.3481556"
