name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid e Khadim,Mosque,"974W+GHR Masjid e Khadim, Asifabad, Telangana 504293",,974W+GHR,Asifabad,504293,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Khadim/data=!4m7!3m6!1s0x3bd2ac0487a9f291:0x6fbe7074c3de740b!8m2!3d19.3563518!4d79.2964018!16s%2Fg%2F11cjj61r0q!19sChIJkfKphwSs0jsRC3Tew3Rwvm8?authuser=0&hl=en&rclk=1,"19.3563518,79.2964018"
Masjid-e-Huda,Mosque,"Masjid-e-Huda, opp. Bus Stand, Asifabad, Telangana 504293",,opp. Bus Stand,Asifabad,,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Huda/data=!4m7!3m6!1s0x3bd2ac1c5f823685:0x442868b52a3ced5e!8m2!3d19.3620003!4d79.2942735!16s%2Fg%2F11bw7cz2mz!19sChIJhTaCXxys0jsRXu08KrVoKEQ?authuser=0&hl=en&rclk=1,"19.3620003,79.2942735"
Jama Masjid,Mosque,"Jama Masjid, Bazarwadi,, Asifabad, Telangana 504293",,"Bazarwadi,",Asifabad,504293,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd2aea773cd3d43:0xc60c04b9f21fcf83!8m2!3d19.3622125!4d79.289124!16s%2Fg%2F11bw77yf0r!19sChIJQz3Nc6eu0jsRg88f8rkEDMY?authuser=0&hl=en&rclk=1,"19.3622125,79.289124"
Jama Masjid,Mosque,"9WF4+RQQ Jama Masjid, Jainoor, Telangana 504313",,9WF4+RQQ,Jainoor,504313,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd29a35900ac135:0x7391ef599ce08a2c!8m2!3d19.3745916!4d78.9069837!16s%2Fg%2F11f34m3m7b!19sChIJNcEKkDWa0jsRLIrgnFnvkXM?authuser=0&hl=en&rclk=1,"19.3745916,78.9069837"
Masjid e Sahaba & Madarsa Tahfiz ul Quraan,Mosque,"Masjid e Sahaba & Madarsa Tahfiz ul Quraan, NAWAZISH NAGAR, Asifabad, Telangana 504293",,NAWAZISH NAGAR,Asifabad,504293,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Sahaba+%26+Madarsa+Tahfiz+ul+Quraan/data=!4m7!3m6!1s0x3bd2aea7c6631baf:0x62b87d4b00422aba!8m2!3d19.3598125!4d79.2883125!16s%2Fg%2F113dzbrlr!19sChIJrxtjxqeu0jsRuipCAEt9uGI?authuser=0&hl=en&rclk=1,"19.3598125,79.28831249999999"
JAMA MASJID SULTANGUDA,Mosque,"C2RR+XGF JAMA MASJID SULTANGUDA, Sultanguda, Kerimeri, Adilabad, Telangana 504313",Sultanguda,C2RR+XGF,"Kerimeri, Adilabad",,Telangana,IN,https://www.google.com/maps/place/JAMA+MASJID+SULTANGUDA/data=!4m7!3m6!1s0x3bd2bd475cdd2b39:0x2b52fccf2d27bcc0!8m2!3d19.4424339!4d79.0413029!16s%2Fg%2F11d_5drtt9!19sChIJOSvdXEe90jsRwLwnLc_8Uis?authuser=0&hl=en&rclk=1,"19.442433899999997,79.04130289999999"
Masjid e Noor,Mosque,"976M+99C Masjid e Noor, Asifabad, Telangana 504293",,976M+99C,Asifabad,504293,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Noor/data=!4m7!3m6!1s0x3bd2aea5cbc568eb:0x5aed9b5568109c20!8m2!3d19.3609381!4d79.283388!16s%2Fg%2F11cjj4r8cv!19sChIJ62jFy6Wu0jsRIJwQaFWb7Vo?authuser=0&hl=en&rclk=1,"19.3609381,79.283388"
Masjid e Bilala,Mosque,"Masjid e Bilala, Adilabad-Asifabad Rd, Jainoor, Telangana 504313",,Adilabad-Asifabad Rd,Jainoor,504313,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Bilala/data=!4m7!3m6!1s0x3bd29bb7204a9e0f:0x706dab2553f72b79!8m2!3d19.3750134!4d78.9120455!16s%2Fg%2F11f6qq3rwz!19sChIJD55KILeb0jsReSv3UyWrbXA?authuser=0&hl=en&rclk=1,"19.3750134,78.91204549999999"
Masjid e Yaseen,Mosque,"Masjid e Yaseen, opp. Jail, Jankapur, Asifabad, Telangana 504293",Jankapur,opp. Jail,Asifabad,504293,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Yaseen/data=!4m7!3m6!1s0x3bd2ae9ef5cade0b:0xa80f60e413fdcad2!8m2!3d19.374471!4d79.2873049!16s%2Fg%2F11cjpfh3jq!19sChIJC97K9Z6u0jsR0sr9E-RgD6g?authuser=0&hl=en&rclk=1,"19.374471,79.2873049"
Wankidi Asifabad,Mosque,"F8JC+8JX Wankidi Asifabad, Shivakesnagar, Wankidi (Kalan), Telangana 504295",Shivakesnagar,F8JC+8JX,Wankidi (Kalan),504295,Telangana,IN,https://www.google.com/maps/place/Wankidi+Asifabad/data=!4m7!3m6!1s0x3bd2b3c315900b4b:0x458e3ebaa1a65d9!8m2!3d19.4810568!4d79.3216502!16s%2Fg%2F11sssc97q2!19sChIJSwuQFcOz0jsR2WUaquvjWAQ?authuser=0&hl=en&rclk=1,"19.481056799999998,79.3216502"
